1,clientid,distance,error
15,13,160.314174262491,"[0.6768311422732143, 0.5793943414130271, 0.6632745698285408, 0.6205777912504143, 0.5142317747235552, 0.5992851828376198, 0.5855346688666405, 0.5967673195159842, 0.5970102315179557, 0.5217191853648068, 0.5983262643663801, 0.6261883284387171, 0.6271258044160074, 0.5641583209761825, 0.5618630696740797, 0.5553699193036773, 0.5771681066093027, 0.5288740705467888, 0.5490925307345824]"
16,14,160.73682290952962,"[0.5690875608583, 0.5464127832612498, 0.6079682849367407, 0.5355219902942974, 0.5218751595693257, 0.5007891183841233, 0.500946311641762, 0.5703086507760966, 0.5766618122612556, 0.5506058615312007, 0.5569560089634058, 0.5166624170638858]"
17,15,165.20656015498045,"[0.7962959179163389, 0.7033125552150794, 0.6495092769542078, 0.6174452801242354, 0.653369933176111, 0.6075418269320383, 0.718405837927923, 0.6698667832848242, 0.6868681308681395, 0.7074093895311666, 0.6159740661252584, 0.6467039749552459]"
18,16,162.86014113282573,"[0.7249573037199439, 0.6220084569374158, 0.6297142629844035, 0.5877954791902232, 0.5161430328531527, 0.5401281956714897, 0.5372480404375667, 0.5332634644220869, 0.5837255282551314, 0.569570166957252, 0.61571592837243, 0.5848728168842978, 0.5501547270930001, 0.5304601263277917, 0.5273076277810342, 0.5906371984000617, 0.6174317330554747]"
19,17,162.71666105658647,"[0.7652821820276687, 0.694571777623687, 0.6603937753720289, 0.6432359365025966, 0.7169823403429932, 0.6345280272810325, 0.6054963207751531, 0.6133279729724574, 0.6896097101709562, 0.6867644982258422, 0.6545801181630551, 0.6448984722922018, 0.6603478901502948, 0.6319460542517081]"
20,18,162.2811006670658,"[0.8159655412706921, 0.7532700512480612, 0.8049052891327282, 0.7019172939948805, 0.7130610064873211, 0.6026782649136736, 0.5669044277817881, 0.6190655976891114, 0.5873645951520257, 0.5771956379140757, 0.5829661941549555, 0.5816261907829106, 0.6123022283956, 0.591787925843045, 0.6067371195305238, 0.6892037912548177, 0.6732893082388673, 0.7316859521306697, 0.765890193025328, 0.6844958697174689]"
21,19,157.14156880922107,"[0.7274849813895977, 0.7499323477613107, 0.7718513343606438, 0.7167923997130254, 0.7141712332860051, 0.6814252243829895, 0.696821769893776, 0.6276993577110251, 0.6318420043959266, 0.6863516113429352, 0.6248953267884543, 0.6875201944716787, 0.6037639740750231, 0.7219087823457617, 0.6658200758815039, 0.6835145777536902]"
1,clientid,distance,error
2,0,163.08153241416053,"[0.7313104734834328, 0.648968010131225, 0.6777424203362923, 0.6479768174513536, 0.612074060304854, 0.5901202195696214, 0.6063763124941757, 0.6068353673657259, 0.5299275537879297, 0.5831500709769324, 0.582609634047716, 0.6538823482997422, 0.627011807914983, 0.6205321991781019, 0.6629855014626608, 0.711588843850224, 0.6013121655383379, 0.6071456713661053, 0.5668931056339594, 0.5698817856154543, 0.5607014796680629, 0.6015469921548335, 0.5848205480988156, 0.6513199748057635, 0.7257159441872459, 0.7447470343982446, 0.6317373397240916, 0.6993392689112018, 0.6301426721247964, 0.7812574467275094, 0.631889555971881, 0.7207350794842553, 0.6576419858981601, 0.7393696857652249, 0.7518029658385037, 0.7142976469278023, 0.6870212209379815, 0.744651778696958, 0.7239100290526272, 0.7554448922084865, 0.7553696734533208, 0.7034492089990589, 0.6651537459386404, 0.5985205214591234, 0.6673236172129104, 0.6636317996531853]"
3,1,163.9012244063334,"[0.8248879536813885, 0.6925360948489806, 0.5719285084784065, 0.6188429495151568, 0.663802002625609, 0.6288981379788041, 0.5824533082260233, 0.5822788033789644, 0.5933985518554604, 0.6184599506420825, 0.6241301249166201, 0.7166905115672206, 0.5913743566661314, 0.6331050591074422, 0.6028790074180709, 0.660972567972311, 0.6009648802104898, 0.6044993863451291, 0.7816692187327673, 0.64248300932835, 0.6480829121420457, 0.6768636243299019, 0.6584347462938038, 0.6719237239713376, 0.6144622106711958, 0.7594099594153468, 0.7759634101561527, 0.776939511916377, 0.6431016528896618, 0.7576307857219675, 0.638922290490343, 0.6811644915803671, 0.7731070961059164, 0.5733714850787321, 0.7354235487124512, 0.6100682717469343, 0.7716063172604967, 0.7218320682141321, 0.7885926391675943, 0.7314987167748633, 0.7584829359558946, 0.7563007007659137, 0.8037595197141922, 0.7766166227091297, 0.7531601731253533, 0.6841366083018431, 0.7301993321488461, 0.7912422645298378, 0.7160571267590126, 0.8622910221629018, 0.7135569935118029, 0.7025462922905448, 0.851660143146344, 0.774563582405352]"
4,2,161.91691109307618,"[0.689735332475405, 0.6268196696586603, 0.5809293965251521, 0.5091879858689219, 0.48913356089223253, 0.47469367376420973, 0.5138029182459652, 0.5975896048242365, 0.5921910439220377, 0.6142820025331714, 0.6215255754013058, 0.6746655688660701, 0.5871602869853947, 0.6142817944934478, 0.5067097015748573, 0.6116995140918068, 0.4963494579451868, 0.5535341600010798, 0.5100056006435343, 0.5727365200829908, 0.5725768741357242, 0.5097460916806741, 0.512328018069261, 0.5688638747418315, 0.5453848181542668, 0.5286563327470651, 0.4819135572579151, 0.4979495117258673, 0.579298170241266, 0.5443163227781315, 0.5680291880435725, 0.6201087939794505, 0.5450284802202424, 0.5295790338961623, 0.5704206097779992, 0.47848197514370244, 0.6051167671299036, 0.6716474140230028, 0.5750059231198678, 0.6097819526328587, 0.6421940142348596, 0.5680414726518151, 0.6476996724001214, 0.6883580527771431, 0.6867572486818947, 0.5368671837335272, 0.6104488080021169, 0.6528458793011659, 0.68187018588354, 0.6538647337595703]"
