1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,mnist,FedAvg,0,6.183275878969818,0.10076414233576643,0.510462973351538,0.13991188882203062,0.15732933790070464,0.5
3,mnist,FedAvg,1,1.4576602709552486,0.5230953467153284,0.843770983986156,0.20726934323736348,0.10372660309424055,0.5
4,mnist,FedAvg,2,1.0096638375664482,0.6994753649635036,0.905669189142999,0.1982217153093694,0.08326841810479606,0.5
5,mnist,FedAvg,3,0.6604928528083324,0.7626026459854015,0.9553676157250817,0.16038515379080137,0.03134040904217338,0.5
6,mnist,FedAvg,4,0.6687947614538823,0.7648266423357665,0.9580649426020273,0.16366836893054773,0.030360257002675615,0.5
7,mnist,FedAvg,5,0.516254942259223,0.8153512773722628,0.9690356048407187,0.11491946660936322,0.018501606217569824,0.5
8,mnist,FedAvg,6,0.4650062896849752,0.8391879562043796,0.9721510900790207,0.08735255562792035,0.014980854716901677,0.5
9,mnist,FedAvg,7,0.4564458123333742,0.8475136861313869,0.9737533613814003,0.08227028020022738,0.01416408145663695,0.5
10,mnist,FedAvg,8,0.3879239085673255,0.8769388686131386,0.9778992108062573,0.0561225562304177,0.010211756680698292,0.5
11,mnist,FedAvg,9,0.47206586503029324,0.8467153284671532,0.9736912630552094,0.0906660165433744,0.01595571124291243,0.5
12,mnist,FedAvg,10,0.429143071112893,0.8660469890510949,0.9760448967330619,0.07227637714930842,0.013472084890131889,0.5
13,mnist,FedAvg,11,0.4438391489358965,0.8610287408759124,0.9752700956814667,0.08170419739435612,0.015997889692751323,0.5
14,mnist,FedAvg,12,0.41942521642529557,0.8722627737226277,0.9769695057399244,0.07165039324993237,0.01439574948524614,0.5
15,mnist,FedAvg,13,0.3713254639051443,0.8838959854014599,0.9805443800983676,0.05509500326073969,0.009780120356692493,0.5
16,mnist,FedAvg,14,0.403927786773307,0.8742586678832117,0.9794530030976242,0.06964348073232969,0.011799283962549012,0.5
17,mnist,FedAvg,15,0.3621543637406789,0.8913663321167883,0.981299690445779,0.04872391554659113,0.00911182845146107,0.5
18,mnist,FedAvg,16,0.3326645439447545,0.8996920620437956,0.9827983446395204,0.042675046303452736,0.007583269028787182,0.5
19,mnist,FedAvg,17,0.33661133068149895,0.8994639598540146,0.9828561511671379,0.04176412102508517,0.007586176905643036,0.5
20,mnist,FedAvg,18,0.3554949253271352,0.8941605839416058,0.9817218988043144,0.05243704211669419,0.010141844878413969,0.5
21,mnist,FedAvg,19,0.33919710285831034,0.8990077554744526,0.9830128404189468,0.04547437407082341,0.008500676249872975,0.5
22,mnist,FedAvg,20,0.3365901891113695,0.8992928832116789,0.9830921939326424,0.046471123818031035,0.00870827584172189,0.5
23,mnist,FedAvg,21,0.3758744249044806,0.8889712591240876,0.9812935943829232,0.058504093824070194,0.011117254632663637,0.5
24,mnist,FedAvg,22,0.3528789625631334,0.893533302919708,0.982458093614161,0.05604868595489006,0.010064200342925623,0.5
