1,group,error,var
2,0.0,1.1825903536159497,0.010756217841086225
3,1.0,1.075332233678862,0.009339767310618096
4,2.0,1.0503276144150417,0.011490062660100272
5,3.0,0.9838231015881739,0.006643722408717491
6,4.0,0.9787737954907445,0.015381130110931474
7,5.0,0.9505198371929483,0.025972674648212495
8,6.0,0.9516470835018606,0.03073487317826412
9,7.0,0.9619908328771821,0.012401131802826643
10,8.0,0.925789846129663,0.011817773553768514
11,9.0,0.9167332466295071,0.008622247492425048
12,10.0,0.9113464153844267,0.01762683034159021
13,11.0,0.8908918319136253,0.014357334687017298
14,12.0,0.9136954542357388,0.015237887066050407
15,13.0,0.8660319455403762,0.019818226558922424
16,14.0,0.9001866359004691,0.008720060696231362
17,15.0,0.8796711297237859,0.005928869452110438
18,16.0,0.8596939402460272,0.006531159415273333
19,17.0,0.8445104716226727,0.011395573264351578
20,18.0,0.870082174314218,0.008321567147867649
21,19.0,0.8635612534460699,0.006412912632990051
22,20.0,0.8803807537955406,0.010815910394868336
23,21.0,0.8433697411187817,0.010619011978092275
24,22.0,0.8911931597618651,0.008409158840673229
25,23.0,0.8737606606815082,0.01180799163429245
26,24.0,0.8576022256412508,0.006492769443644103
27,25.0,0.8294233148241764,0.009246985275356416
28,26.0,0.8373005430699092,0.004564241331669935
29,27.0,0.8714165511775096,0.02014700846014164
30,28.0,0.8268810358193817,0.003033762654678889
31,29.0,0.8431436386589874,0.01571794691985477
32,30.0,0.8538832431115762,0.015283430667793838
