1,clientid,distance,error
2,0,163.08153241416053,"[-0.5978711906178966, -0.5615315229693449, -0.48833060706486386, -0.32527895083212244, -0.2123809223704074, 0.12721969990026194, -0.06839953708513535, -0.11450312630330117, -0.05463803066124451, 0.03385123708491067, 0.1881230948285214, 0.3679835493508631, 0.3966042528094286, 0.5666979548226208, 0.5791495577260488, 0.551643206786858, 0.5595386545873713, 0.565227048331592, 0.6507749842163526, 0.48727948893029144, 0.40068779327714166, 0.5646736360990521, 0.5804086537647881, 0.5390831193434216, 0.5222727617103723, 0.6084557856651946, 0.5053309917349211, 0.5703097392231731, 0.6050895150100108, 0.49757871933710335, 0.683369194301518, 0.6750446748950736, 0.6746833055484525, 0.5675828335816961, 0.6227267237786527, 0.6316130762830375, 0.6614845647485799, 0.7320491880585106, 0.6946086059402444, 0.6176902355903935, 0.7472191985527535, 0.802750485353688, 0.8264782602555346, 0.7555876019285724, 0.7241253732820766, 0.5705598691530551, 0.6770236446581532, 0.6806246405378968, 0.7004870767584771, 0.7147996655369333]"
3,1,163.9012244063334,"[0.3223110782300528, 0.24937090842286125, 0.13511311686118088, 0.33566731498326086, 0.31371803199346215, 0.10857846452240161, -0.305935215267646, -0.03149426590889737, 0.16134220396589816, 0.12453351990115669, 0.10597664968364129, 0.15574030041514564, 0.09204272913326284, 0.2324523027859532, 0.18864078046202915, 0.42058443245266763, 0.4607307642636189, 0.34477062415633686, 0.6111614249443362, 0.5746542559722239, 0.4607593420444024, 0.4441939779036754, 0.5041781920102253, 0.5012173312333357, 0.39269294558122037, 0.6917147812853188, 0.44436839415385726, 0.08700952259703676, 0.49019162090633017, 0.7527064692824971, 0.8604937735841741, 0.6661371047762007, 0.8021320355625515, 0.6991725641561499, 0.8440800414756453, 0.4011020522848833, 0.48866029431127556, 0.8319946373759695, 0.7249822220654505, 0.9188836958414446, 0.6489222139344606, 0.8767014718231626, 0.6939179832939284, 0.8863746057107565, 0.820612448008177, 1.1212976035299729, 1.0670675795420665, 1.0275413895487278, 1.140875771999407, 0.8102762705383371, 1.0658707316788845, 0.8507841227443074, 0.8096441533984102, 1.042617902009529, 1.0181294930131526, 1.0507703369586259, 0.9503107949113156, 0.9040021634764828, 1.001532268193542, 1.1939246716024674]"
4,2,161.91691109307618,"[0.4485797978926538, 0.44705864900111725, 0.3443410620041869, 0.47614005820581773, 0.47518793291920713, 0.42974930730106653, 0.45352049301921704, 0.4908591609919003, 0.6234710929965499, 0.5681608926626514, 0.4684145993890271, 0.5543953998758855, 0.6915957266961278, 0.6365445134278266, 0.5770167101753552, 0.5486055628990798, 0.7272882317809577, 0.6323495102887118, 0.6668819237365204, 0.5819776061738606, 0.5900939390131146, 0.7383813523913572, 0.640525650844582, 0.7758492238991327, 0.7497142686020166, 0.6585823817476242, 0.6451155244075114, 0.7657402910099831, 0.6788476112259912, 0.5458468905675866, 0.4849432703169061, 0.694106179312882, 0.6713357260794721, 0.6447703339265275, 0.6276257293131855, 0.6265866955440849, 0.635609433011324]"
5,3,162.1411096579629,"[0.6114924150075779, 0.5627542309499627, 0.3762808925264788, 0.4449811119059564, 0.597790495505227, 0.5542048605221963, 0.4941099567832446, 0.5096162604606522, 0.46148193942031646, 0.477350509302044, 0.5151795232148082, 0.4509551447580313, 0.6224999377869632, 0.595536250127332, 0.5929127357330521, 0.5036485112037339, 0.5798793968459384, 0.5263319336330086, 0.7184623631523345, 0.39832999106083783, 0.6489213051702762, 0.5033131223369576, 0.3791816566884467, 0.5853010039314723, 0.49196851461517715, 0.7029953451362524, 0.6041891033222242, 0.4490103840728938, 0.578364769532968, 0.6252751152838718, 0.5928380489205748, 0.5748313703475583, 0.6488864095903981, 0.5715042913640653, 0.4773560410045701, 0.3963396057739318, 0.6382410917745568, 0.6143958736198749, 0.7449493589096247, 0.8568994284675493, 0.7573980126725768, 0.6803097299780824]"
6,4,161.16427629678088,"[0.6899591815404564, 0.5423192974194257, 0.5010673017508682, 0.5815337691224141, 0.5689306265587109, 0.5449369963132723, 0.5516761904051599, 0.561004265940791, 0.516586015584354, 0.6724981846030484, 0.5212259687520331, 0.5057101179939298, 0.7014579556064352, 0.7813751577135172, 0.6458232430355371, 0.6024612084931985, 0.671242876200811, 0.6133920784850767, 0.697827321633514, 0.7418494657073076, 0.6388355197151454, 0.6977565604418529, 0.7860953066458259, 0.6847317623475413, 0.7780950209921006, 0.6887338432393109, 0.7841437683958271, 0.6965035398624009, 0.732228585302395, 0.8469034962726885, 0.7168136818651379, 0.7529511340038867, 0.7195435849702669, 0.6952318253411462, 0.6784702993167111, 0.6955753249406464, 0.6535265612300711, 0.7365691948281337, 0.7584351970506191, 0.6506593354942758, 0.8439899526473957, 0.7935881126515303, 0.8128886538323188, 0.7810388932643318, 0.7044778553932995, 0.805496673996829, 0.7410761276872437, 0.8080145358280855, 0.7720207001163802, 0.7834445808790246, 0.8355847031043995, 0.7300652390740722, 0.7019009243274703, 0.8141929030288467, 0.8196111396424007, 0.8828371172492142]"
7,5,160.84106337685063,"[0.4387880740128457, 0.29279814534820614, 0.45442255044976876, 0.3975149695947766, 0.5329694891208783, 0.4288664823219491, 0.38735642490598066, 0.39793268173118124, 0.4529765161672064, 0.48827235961410526, 0.48081579059100477, 0.43866193709390544, 0.4227078487354933, 0.49719261426721156, 0.41916172809355584, 0.5066449284850387, 0.5934741218960456, 0.41763739429654384, 0.48101213601495446, 0.5004834160158256, 0.4975188063938428, 0.4938322096138472, 0.4799734456804193, 0.34861356217964684, 0.467755316208204, 0.49865905077206363, 0.346236544401933, 0.3887537382838491, 0.30831663284616906, 0.4489106166661804, 0.1795512276125374, 0.3473000404208627, 0.5909089023244087, 0.579914771082064, 0.46332688073810757, 0.44894954792614344, 0.5597516157164258, 0.43379333654904256, 0.5492465835207623, 0.25696292474666427, 0.4259349164916785, 0.3505602548094734, 0.6674857407032702, 0.43786267233685977, 0.5979722347570806, 0.615935127367796, 0.48415167585012264, 0.3936060581080376, 0.4878024090783182, 0.6592423422658487, 0.4447065449253864, 0.5581129051987319, 0.5292292047466678, 0.4914934420039012]"
8,6,160.34662324972658,"[0.778616630163279, 0.6717280897402099, 0.6922408787168683, 0.6287380941578744, 0.6316301454113198, 0.6789713990818195, 0.6273979691008189, 0.5717743432686957, 0.5467166699168031, 0.5250119934791095, 0.5658516348500745, 0.5082914515919693, 0.5902270519128285, 0.589098053809016, 0.5616236048603348, 0.7032122497975939, 0.6963484717995128, 0.6311590241991945, 0.651285415614297, 0.5973787300998046, 0.6749354609068536, 0.840324165902407, 0.6803013143470086, 0.7619244593794209, 0.7785355200075925, 0.8010675329074527, 0.6977800098422047, 0.7114008984295953, 0.6805918807622346, 0.67003241683699, 0.6769993163736443, 0.7995577334270452, 0.8053966650557313, 0.824703089409913, 0.6567293026694675, 0.9812848590711579, 0.6903157010686215, 0.7590276862682155, 0.8137478912341605, 0.9125284542497666, 0.9568803290138327, 0.8611531996802771, 0.8279304003495298, 0.7665147478380141, 1.0325806737154104, 0.9042890947276133, 0.8773765411263548, 1.0192416658379146, 0.8882611457592382, 0.9328428226218781, 0.8752020142428851, 0.9107177195738105]"
9,7,162.5881040264423,"[0.7931437170821232, 0.7609266681683237, 0.8311830183709887, 0.7874411018208265, 0.7719286661564719, 0.6243810992270896, 0.6688002475296553, 0.6768721269221816, 0.7473458905588855, 0.688787273401744, 0.7865901983086305, 0.7255697287003804, 0.7616271889933003, 0.7599800409275133, 0.6592720154148043, 0.8180095193665291, 0.6219607075904405, 0.7226958609704379, 0.7047823730720963, 0.6485924573692368, 0.6277348614788442, 0.7172448813735217, 0.7177983380862771, 0.575139621967899, 0.591023566577685, 0.7750953057916221, 0.68306180718616, 0.716116584742048, 0.7423882570428775, 0.6709433858766234, 0.7592459114272019, 0.5519815636322835, 0.6318476062026025, 0.7146280177523716, 0.8331812552766706, 0.826581089931175, 0.8946868058909938, 0.7311234387154687, 0.8284791856408735, 1.003367106885063, 0.9046730138289525, 0.9397914916458404, 1.0256841073697478, 1.1923891037878014, 0.9433438543729884, 1.096483841564162]"
10,8,162.40921454486116,"[0.5153398619584318, 0.5743102120451997, 0.4917032538600016, 0.46897864128437555, 0.3917305275925327, 0.4416908205738521, 0.4617076925920039, 0.41050061185739306, 0.5032619225630568, 0.6365437426425609, 0.5629273125209885, 0.5451453589905189, 0.509938024800518, 0.5479403094975591, 0.5511836543971735, 0.5835580832915223, 0.5375572347463571, 0.5946914857035038, 0.4434674391710346, 0.5644261397046648, 0.508956082550124, 0.6942382025429741, 0.7353785893206921, 0.6687965962833708, 0.6182245155228678, 0.7299427697993079, 0.7372485411867089, 0.6191304665318557, 0.7160828711227758, 0.6663704695420325, 0.7515217687454052, 0.7532171441786732, 0.6470236407198313, 0.7568477122429289, 0.6752995631822953, 0.7828377585006323, 0.8110166715451463, 0.7567060925429037, 0.7655416192748007, 0.6957523394075129, 0.8903012435464561, 0.7147129870353467, 0.8352019666662437, 0.7824164766129075, 0.803212353923807, 0.9570882124394894, 0.8350907312913639, 0.8998172003391577, 0.7759494593647547, 0.9253119733818251, 0.9315185908976478]"
11,9,161.04115256323556,"[0.9403234409945687, 0.8736557323617611, 0.7686953753995613, 0.8390525912167504, 0.7770894022614467, 0.6519998762279925, 0.6453350185482638, 0.6437930326877661, 0.7381945262065406, 0.6393895497794014, 0.746986228718668, 0.7027640429811229, 0.5851556034932394, 0.8492030816505604, 0.8250889413966705, 0.753926418806879, 0.6703133477234945, 0.761274933232307, 0.7153458639146122, 0.6702877391839266, 0.9641337606676864, 0.9338538339010927, 0.7296847802169089, 0.8265160660440236, 0.8749412256741472, 0.7876773438283163, 0.9741912981957255, 0.6697625260073043, 0.5641666154932312, 0.6115037896083656, 0.6702877132074045, 0.5205198681164036, 0.8210509870299889, 1.041546230715021, 0.6447271493565494, 0.742778784856134, 0.707060103100396, 0.7614527020272448, 0.7393693560828497, 0.9501571070383181, 0.8465673962236476]"
