1,group,error
3,1.0,0.7609635091002211
4,2.0,0.7163628458172422
5,3.0,0.6496523008106813
6,4.0,0.6646939137446073
7,5.0,0.7229038947694019
8,6.0,0.7222800539451948
9,7.0,0.6795407701757292
10,8.0,0.7225453209617902
11,9.0,0.7166011018241989
12,10.0,0.775420088942161
13,11.0,0.7969119979874504
14,12.0,0.7478561403292451
15,13.0,0.7532629237606394
16,14.0,0.7649012343364038
17,15.0,0.7853636588498347
18,16.0,0.7795863142673185
19,17.0,0.8163246794768053
20,18.0,0.8052635061489237
21,19.0,0.8045485946049391
22,20.0,0.7347064753725354
23,21.0,0.8064291970866896
24,22.0,0.7814183829696656
25,23.0,0.7895275919660283
26,24.0,0.8223513846867442
27,25.0,0.8120277417399179
28,26.0,0.7906337858008832
29,27.0,0.835395196697448
30,28.0,0.8270157377358988
31,29.0,0.8491144632634625
32,30.0,0.8028706059132729
33,31.0,0.8277926793915127
34,32.0,0.8570253218523661
35,33.0,0.8638323252992799
36,34.0,0.7987372524885469
37,35.0,0.8402854985668
38,36.0,0.8827561766651585
39,37.0,0.8547179162204777
40,38.0,0.8854486976000437
41,39.0,0.8517151278109077
42,40.0,0.8767131965164784
43,41.0,0.8963000465076689
44,42.0,0.8561507098927749
45,43.0,0.9165678434309084
46,44.0,0.903627013396728
47,45.0,0.754205409182819
48,46.0,0.9309637830621748
49,47.0,0.8606619879065467
50,48.0,0.9433953338199501
51,49.0,0.9302141330097169
52,50.0,0.9149913338122893
53,51.0,0.9658318303958963
54,52.0,0.957725735016972
55,53.0,0.9609298551984535
56,54.0,0.9618484152705504
57,55.0,0.9521408833859126
58,56.0,0.9047527823225554
59,57.0,0.9864642304769865
60,58.0,0.9627864420625489
61,59.0,0.9455633097490477
62,60.0,0.9663395478636223
63,61.0,0.9768322038001098
64,62.0,0.9878738663050874
65,63.0,0.9939144977212999
66,64.0,0.9876578419640303
67,65.0,0.966948002807017
68,66.0,0.9937787233810231
69,67.0,1.0169154888545366
70,68.0,1.0325038125926613
71,69.0,1.0347943999583626
72,70.0,0.9886408653173251
73,71.0,0.9982317540229042
74,72.0,1.0509294039665587
75,73.0,1.0810446832843321
76,74.0,1.0648740237581977
77,75.0,1.0776556025404613
78,76.0,1.085861114762264
79,77.0,1.092638378961176
80,78.0,1.0802279229671312
81,79.0,1.026243746569964
82,80.0,1.115820182532726
83,81.0,1.063043635176765
84,82.0,1.0948188969490882
85,83.0,1.1655670448476823
86,84.0,1.1420786238832006
87,85.0,1.11598544989722
88,86.0,1.1221597488621147
89,87.0,1.1157057416065324
90,88.0,1.1317977340763035
91,89.0,1.1092874738022618
92,90.0,1.1414846266178285
93,91.0,1.137939244512817
94,92.0,1.1318644387987808
95,93.0,1.199203161543013
96,94.0,1.161364312055849
97,95.0,1.244335251977953

