1,clientid,distance,error
12,10,178.19314489644913,"[0.729212504664845, 0.6717364583426192, 0.6470302131306921, 0.6102646578934319, 0.5677762273641583, 0.5330667472109499, 0.5015506304484957, 0.46736666666605503, 0.44022536310795524, 0.4175423965950897]"
13,11,174.77462053637896,"[0.776379431980449, 0.598905751497041, 0.5221854953619792, 0.4410898210985542, 0.36485036081362604, 0.2991523136714372, 0.24244562212666998, 0.19932153925978804, 0.16669021524780592, 0.14355666038236156]"
14,12,171.31149375252784,"[0.3106261896580299, 0.28628762976225625, 0.21534472215278164, 0.18789784956104585, 0.16695632056994922, 0.14715194504497, 0.13463868566792284, 0.12494418498689427, 0.11934935195220367, 0.1155031762292333]"
15,13,180.2943843630986,"[0.4820542298331413, 0.47872257287494924, 0.4070131530211356, 0.3412844611679095, 0.2941262490128348, 0.2566725421213475, 0.22966890279788996, 0.20789237807133157, 0.19416116308269366, 0.18480220408792178]"
16,14,169.56222181664234,"[0.39769055915078794, 0.31360152645493067, 0.25428479697758904, 0.1968708056150188, 0.1583393146566514, 0.129048223911198, 0.10367602328716709, 0.08897421515768206, 0.07833067386907057, 0.07102335438791828]"
17,15,184.55005558709823,"[1.0175559603786886, 0.8754309929541445, 0.7567940474421319, 0.6659979486472106, 0.5798745940036107, 0.49665152867964935, 0.42753678952846846, 0.36553412331288976, 0.31991377046818215, 0.2833770612617497]"
18,16,174.8678682873961,"[1.1522395903202338, 0.9218496829215077, 0.8007565404222652, 0.7173208477686142, 0.640318285825021, 0.5646887561872169, 0.501608477791614, 0.44397994738374824, 0.4011838504849486, 0.3659379484115854]"
19,17,176.52644364632104,"[0.7923609911116485, 0.831030625119427, 0.8361703627617482, 0.827864014580906, 0.7934770099808323, 0.7614819896899667, 0.7475938496992154, 0.7311311696118339, 0.7089541993828194, 0.6832483867387915]"
20,18,173.30644498313856,"[0.17452200255070616, 0.14349782939521843, 0.08483989800104154, 0.06913993794589259, 0.062253273816104494, 0.057672878849682856, 0.05670496674836119, 0.0557971865644002, 0.056426039922175514, 0.05688863965749704]"
21,19,170.56696909020948,"[0.3848850485982324, 0.3488348981893923, 0.29097973335673244, 0.24283020176189618, 0.20892661004512483, 0.182239008309536, 0.16292686542200746, 0.1469867480459617, 0.13651023049689756, 0.129014685430936]"
1,clientid,distance,error
2,0,168.2594959959101,"[0.4915931997358675, 0.3473245652705131, 0.3202904461521317, 0.2897025518734332, 0.2584621239034374, 0.23144197463896668, 0.2070961791448057, 0.18661071808050128, 0.17077446406720248, 0.1577143134744879]"
3,1,174.37781668656552,"[0.2832930467474805, 0.07920110442433234, 0.06483354672315127, 0.060977369296565796, 0.055595412988274986, 0.05034305778689192, 0.04597583397005546, 0.04198564058605486, 0.03903065749571105, 0.036020756748788865]"
4,2,181.07903904559686,"[0.7812451828763733, 0.6185136058586068, 0.5443059225967954, 0.4669872946017495, 0.3944683197858467, 0.33239109966747493, 0.2776356208144534, 0.23595144383431035, 0.20346930885929398, 0.1789742388934974]"
5,3,175.4636486445999,"[1.1144308884084324, 0.8947193627587195, 0.7771171668451745, 0.695134422307719, 0.6197778433173067, 0.5448733492269179, 0.4820697758871226, 0.4263419196774981, 0.38542254153338845, 0.34703173286684896]"
6,4,166.78258478912414,"[0.7169995419726696, 0.5664721599069995, 0.4832969878648327, 0.4239181040128408, 0.3812127464847621, 0.35144389597781883, 0.3174887391129994, 0.29904337664466224, 0.28421141140145606, 0.26997510028804655]"
7,5,176.74105245269047,"[0.7319505143758634, 0.667551081648549, 0.6438374656654203, 0.6073254470251047, 0.5644710486962926, 0.529103798735602, 0.49752455331430023, 0.4638891365573544, 0.43871269291679577, 0.4152905631615388]"
8,6,168.78738686567038,"[0.1461856875507345, 0.03970330748729492, 0.01785832993647022, 0.01209520235369968, 0.01024388840807829, 0.009593695228362705, 0.009245904899444773, 0.009342736397082113, 0.009231008974640137, 0.009304923071870771]"
9,7,173.92749948867672,"[0.5476016899680649, 0.4446335969790421, 0.37197136490032345, 0.30292780314827367, 0.2520552527367984, 0.20663570726772823, 0.1613377963952275, 0.12976654613087718, 0.10635006660490515, 0.090772342008035]"
10,8,181.35124408069495,"[0.20436594354461377, 0.028822289574752323, 0.02897232534005932, 0.027540445922866964, 0.02551907288113004, 0.023522130130927438, 0.021910975491406515, 0.020967149801218686, 0.020081392744738073, 0.019275495985379736]"
11,9,177.27036557616654,"[0.46066723021923356, 0.4250060684783774, 0.34341274628112733, 0.2632946605250965, 0.2104192132523408, 0.1698692908313376, 0.13586495991389472, 0.11615815089910192, 0.10167353694599014, 0.09256364432893965]"
12,10,178.19314489644913,"[0.7292124826631305, 0.6717364191939794, 0.6470302841854112, 0.6102644837465604, 0.5677789647597614, 0.5324576893169332, 0.5008430056032523, 0.4670940257147536, 0.44142547365771745, 0.41760421169794093]"
13,11,174.77462053637896,"[0.7763793298185784, 0.5989052707177809, 0.5221856241118373, 0.441089884684078, 0.3648529538241764, 0.2997251149894386, 0.2420167092594289, 0.19978944972035664, 0.1665274036648327, 0.14267387759721234]"
14,12,171.31149375252784,"[0.3106261855188185, 0.2862877584072579, 0.21534484270567472, 0.18789787588621454, 0.16695706402427823, 0.14817368645190412, 0.13493560857920947, 0.12482972958564342, 0.11947589459448513, 0.11565734791302998]"
15,13,180.2943843630986,"[0.48205423311533535, 0.47872249214166074, 0.4070132988879953, 0.34128454101949296, 0.2941281849042801, 0.25754864935716126, 0.2296484923875668, 0.20886345178957422, 0.19559831672164377, 0.185888303120713]"
16,14,169.56222181664234,"[0.39769054888890537, 0.3136014135228597, 0.2542847305357109, 0.19687083506640857, 0.15833948504408193, 0.1287571333229504, 0.1036557660052667, 0.08912152213742387, 0.0779960283020786, 0.07120128551625306]"
17,15,184.55005558709823,"[1.0175559774085872, 0.8754309184649693, 0.7567941688633125, 0.6659974708953607, 0.5798747647932032, 0.49697418659759157, 0.4272334511094544, 0.3663781521463534, 0.3220464662107198, 0.2822058342301586]"
18,16,174.8678682873961,"[1.1522395822328515, 0.9218495546167718, 0.8007566392163289, 0.7173203185199861, 0.6403184587244568, 0.5647470748393775, 0.5013673607818498, 0.4449294015367369, 0.4036385156778315, 0.3646647372874533]"
19,17,176.52644364632104,"[0.7923609633236152, 0.8310306106408135, 0.8361703575317093, 0.8278644133417749, 0.7934765638497743, 0.7626683441767371, 0.7503156239346193, 0.7309167175744196, 0.7095212966409753, 0.6828500951680173]"
20,18,173.30644498313856,"[0.1745220008779174, 0.14349789177635758, 0.08483990211779038, 0.06913988507352739, 0.06225306537756129, 0.05818879914330608, 0.05717968105927661, 0.05567891758244148, 0.056138948102181424, 0.056941255152184456]"
21,19,170.56696909020948,"[0.3848850550867875, 0.34883484272834536, 0.2909798318624546, 0.24283026946093889, 0.20892795917295845, 0.1828395932687479, 0.16284667547692386, 0.14767530674191365, 0.13755635247045742, 0.12992749350221114]"
1,clientid,distance,error
2,0,168.2594959959101,[]
3,1,174.37781668656552,[]
4,2,181.07903904559686,[]
5,3,175.4636486445999,[]
6,4,166.78258478912414,[]
7,5,176.74105245269047,[]
8,6,168.78738686567038,[]
9,7,173.92749948867672,[]
10,8,181.35124408069495,[]
11,9,177.27036557616654,[]
12,10,178.19314489644913,[]
13,11,174.77462053637896,[]
14,12,171.31149375252784,[]
15,13,180.2943843630986,[]
16,14,169.56222181664234,[]
17,15,184.55005558709823,[]
18,16,174.8678682873961,[]
19,17,176.52644364632104,[]
20,18,173.30644498313856,[]
21,19,170.56696909020948,[]
1,clientid,distance,error
2,0,168.2594959959101,[]
3,1,174.37781668656552,[]
4,2,181.07903904559686,[]
5,3,175.4636486445999,[]
6,4,166.78258478912414,[]
7,5,176.74105245269047,[]
8,6,168.78738686567038,[]
9,7,173.92749948867672,[]
10,8,181.35124408069495,[]
11,9,177.27036557616654,[]
12,10,178.19314489644913,[]
13,11,174.77462053637896,[]
14,12,171.31149375252784,[]
15,13,180.2943843630986,[]
16,14,169.56222181664234,[]
17,15,184.55005558709823,[]
18,16,174.8678682873961,[]
19,17,176.52644364632104,[]
20,18,173.30644498313856,[]
21,19,170.56696909020948,[]
