1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedAAW,100,0.5,162.42841725587846,16242.841725587845,"[125.13648986816406, 126.93835616111755, 125.5969169139862, 118.99504399299622, 126.93211603164673, 130.3382019996643, 120.7695882320404, 124.26048398017883, 119.91094517707825, 182.07021617889404, 174.5205898284912, 188.30706095695496, 178.91667985916138, 183.91688418388367, 179.52509117126465, 188.4808168411255, 194.23341703414917, 176.68423700332642, 190.01707983016968, 166.6388669013977, 171.90364694595337, 170.8911428451538, 172.47785186767578, 183.01808786392212, 180.6981291770935, 200.4493010044098, 179.6194188594818, 180.86902594566345, 186.73406600952148, 181.99045825004578, 172.0483889579773, 119.87008881568909, 112.17503190040588, 115.54327511787415, 104.2456431388855, 111.5702178478241, 107.85332608222961, 110.84134292602539, 116.18844985961914, 115.46066188812256, 113.64280700683594, 110.58479523658752, 156.44248986244202, 184.6539330482483, 198.90679597854614, 177.67174673080444, 187.05207300186157, 179.71360802650452, 190.88516926765442, 177.4109787940979, 178.35671091079712, 177.26271891593933, 199.67353916168213, 189.6878387928009, 196.70561909675598, 200.47039103507996, 189.31971096992493, 182.99883389472961, 185.68440413475037, 183.36549186706543, 186.82041096687317, 184.43363904953003, 180.47420525550842, 190.24179410934448, 187.7898280620575, 187.94998693466187, 204.5812108516693, 183.5595462322235, 192.4548420906067, 180.38044118881226, 187.1820821762085, 193.76198410987854, 190.0441539287567, 171.65294885635376, 181.79093408584595, 197.16614079475403, 183.39441585540771, 176.6835777759552, 184.88878297805786, 193.32604885101318, 192.3521831035614, 186.13921809196472, 180.22696709632874, 188.5845239162445, 177.17393279075623, 117.7150809764862, 129.47169280052185, 112.17229223251343, 104.47698926925659, 114.41661977767944, 110.95710897445679, 108.97640085220337, 111.9449291229248, 107.314138174057, 109.05320310592651, 112.52002501487732, 111.50421810150146, 164.20459914207458, 190.81577682495117, 197.118558883667]"
2,Cifar100,FedALA_AAW,100,0.5,187.83464865446092,18783.46486544609,"[255.37363409996033, 205.30798816680908, 152.154128074646, 160.981183052063, 142.55956625938416, 138.95058608055115, 142.510409116745, 199.9643750190735, 212.84716415405273, 212.9547770023346, 201.89935731887817, 216.21961379051208, 202.163578748703, 226.21327114105225, 202.91982293128967, 220.48078203201294, 201.9404537677765, 199.1599748134613, 196.11493301391602, 199.2835509777069, 191.30992794036865, 211.8424210548401, 195.40952920913696, 199.43289279937744, 210.07339906692505, 214.31804180145264, 173.73298621177673, 132.85151624679565, 128.0737681388855, 128.52400994300842, 130.61118292808533, 124.43368005752563, 129.7966730594635, 135.7421679496765, 126.57735681533813, 137.60528087615967, 181.95479798316956, 215.34509706497192, 220.3424687385559, 219.87084078788757, 217.91969299316406, 211.70048713684082, 211.62625527381897, 209.8830828666687, 207.95120286941528, 216.9362359046936, 211.89613890647888, 222.20802927017212, 216.24477314949036, 204.79951691627502, 207.980797290802, 204.64085125923157, 222.49621987342834, 223.67080187797546, 219.795569896698, 221.28401899337769, 226.0068759918213, 211.86464405059814, 218.38803100585938, 208.2825572490692, 211.57890915870667, 215.47150802612305, 203.79162406921387, 207.89751601219177, 212.62302994728088, 214.0384168624878, 217.21383595466614, 216.81970691680908, 230.10637521743774, 220.71447205543518, 211.60847282409668, 208.0245440006256, 224.766743183136, 144.70653700828552, 151.64346313476562, 131.08125376701355, 131.8758261203766, 126.86783981323242, 125.88969111442566, 129.8112359046936, 129.08635807037354, 132.8688108921051, 122.67537212371826, 150.94649720191956, 212.38371586799622, 221.45980095863342, 189.2117669582367, 184.9132080078125, 172.4185619354248, 183.30054783821106, 170.86281609535217, 182.35587978363037, 175.5677568912506, 169.05792212486267, 176.11704802513123, 179.76009702682495, 175.6695020198822, 158.97629165649414, 183.04244208335876, 182.8364977836609]"
2,Cifar100,FedALA,100,0.5,195.67657022953034,19567.657022953033,"[344.14487290382385, 150.15804409980774, 152.5643699169159, 145.3013401031494, 147.06944274902344, 146.01192331314087, 161.5337028503418, 229.69529008865356, 220.7495400905609, 228.4710669517517, 211.4241178035736, 221.18099880218506, 216.69550204277039, 233.8891191482544, 219.1824300289154, 215.7661111354828, 216.15746188163757, 203.76700115203857, 221.0866539478302, 212.64379286766052, 216.95967721939087, 199.85486960411072, 212.80172109603882, 217.02118706703186, 213.88783884048462, 155.28293991088867, 136.5725119113922, 139.38384294509888, 134.92615485191345, 137.0315079689026, 137.5189130306244, 133.01579523086548, 141.36014986038208, 140.82810401916504, 186.17976689338684, 229.24731397628784, 223.75964498519897, 227.07862401008606, 223.32658696174622, 234.88161897659302, 219.2686529159546, 211.81897401809692, 231.76809191703796, 228.65157175064087, 231.4134681224823, 223.0808141231537, 226.8012499809265, 220.41952896118164, 215.7810218334198, 219.3741750717163, 226.00309491157532, 222.3365752696991, 233.57662320137024, 237.6607129573822, 229.98542380332947, 233.08463597297668, 215.1952440738678, 218.61097598075867, 236.996324300766, 225.0284128189087, 227.0037100315094, 220.4558527469635, 218.20297288894653, 222.2132441997528, 242.00790190696716, 229.743243932724, 235.8967297077179, 226.85942125320435, 235.523255109787, 176.76246619224548, 157.67490315437317, 136.78465294837952, 138.52429103851318, 136.51730608940125, 136.2694239616394, 137.29368495941162, 137.80309510231018, 131.28408336639404, 133.04463005065918, 198.40211415290833, 226.5451328754425, 231.99719285964966, 183.16862607002258, 189.61800289154053, 184.9979920387268, 187.03606820106506, 190.95337390899658, 190.75610280036926, 174.0433270931244, 193.69566679000854, 185.08344984054565, 182.17637705802917, 184.83007788658142, 178.03609490394592, 179.38371205329895, 157.75775575637817, 160.21796202659607, 146.41910195350647, 161.25299906730652, 156.1539008617401]"
