1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,Center,30,1.0,8.93160899480184,267.9482698440552,"[8.839778184890747, 8.7518630027771, 8.919474124908447, 8.834451913833618, 8.879940748214722, 8.96336317062378, 8.92942190170288, 8.912337064743042, 8.870580911636353, 8.823268175125122, 8.837494134902954, 8.769807815551758, 9.025668144226074, 8.797861814498901, 9.24210524559021, 8.806901931762695, 9.357363224029541, 8.83040475845337, 8.860260963439941, 8.924805879592896, 8.959388017654419, 8.79207706451416, 8.75551986694336, 9.223318099975586, 8.954965353012085, 9.296563863754272, 8.813811779022217, 8.850766658782959, 8.97132396697998, 9.153382062911987]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedAvg,30,0.5,67.45713636080424,2023.7140908241272,"[56.724249839782715, 52.32261610031128, 53.07928204536438, 54.43700623512268, 66.08506894111633, 74.7016761302948, 56.75999999046326, 59.66685605049133, 75.44060802459717, 49.98112177848816, 47.3886878490448, 60.860560178756714, 77.75229167938232, 58.7858030796051, 57.20704388618469, 76.2327299118042, 76.46269202232361, 87.35923409461975, 86.33345103263855, 87.93602013587952, 77.86259722709656, 51.79327583312988, 55.98262000083923, 66.28009796142578, 84.31278014183044, 82.74728393554688, 80.69621109962463, 64.62561583518982, 59.77971291542053, 84.11689686775208]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,Center,3,1.0,66.87580664952596,200.62741994857788,"[59.758338928222656, 68.70300006866455, 72.16608095169067]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,Center,3,1.0,54.61239194869995,163.83717584609985,"[48.96271300315857, 57.91210913658142, 56.96235370635986]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,Center,3,1.0,50.553665002187095,151.66099500656128,"[51.253089904785156, 50.150203227996826, 50.2577018737793]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
