1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
124,mnist,FedAvg,122,0.37554092039768444,0.8745223293218503,0.9806494052752492,0.07869159158985102,0.014440101378880642,0.5889918123918131,0.3920054072298962,0.08022063855914859,36.19,1,random
125,mnist,FedAvg,123,0.39402440548062817,0.8733816232247761,0.9775922013735328,0.10703733367781465,0.022807222079336748,0.6177048154431248,0.4087953773691929,0.0845162445010419,24.97,4,random
126,mnist,FedAvg,124,0.781399029330022,0.7778474875948211,0.9564322139482057,0.18473705395640333,0.04551386493661471,0.5382995820711306,0.37022444302045576,0.08656368491321761,24.52,2,random
127,mnist,FedAvg,125,0.8932649421151112,0.7416300690127189,0.9539472551219198,0.25116368413142637,0.04971173038594221,0.7033290739065317,0.4484861321497973,0.10070794864859993,33.93,2,random
128,mnist,FedAvg,126,0.875699143502855,0.7380938801117892,0.9540791895123399,0.18579454831163647,0.041977579963208576,0.9151495524946223,0.4771208264955076,0.11189274495138367,32.51,3,random
129,mnist,FedAvg,127,0.7286529818406294,0.7603376490047339,0.9587027375156341,0.17171281868022814,0.03557942747375739,0.9245958821721781,0.512197372326711,0.11367335108507522,26.94,1,random
130,mnist,FedAvg,128,0.5883500199409019,0.8110990703245309,0.9687491243869771,0.1380363753475715,0.02593343844716327,0.3863827365889174,0.3319137877489639,0.07156559107288155,26.509999999999998,2,random
131,mnist,FedAvg,129,0.6310776934783824,0.7910796783208807,0.9626770208829302,0.1891864635218774,0.03727274380671351,0.45783160771659104,0.3714722497026386,0.07385892561230994,33.93,2,random
132,mnist,FedAvg,130,0.8798847129708862,0.7340443734671762,0.9544800415318303,0.2122123992925293,0.04161285662154488,0.5106961744841906,0.3705418759895931,0.07954060818404178,25.580000000000002,3,random
133,mnist,FedAvg,131,0.3610070841717998,0.8793132949295615,0.9794129109512215,0.09876875051114663,0.021499185294629203,0.47778110783940564,0.3664666789769045,0.07640646321567725,32.51,1,random
134,mnist,FedAvg,132,0.3322575660666121,0.8861004962071523,0.9817603904018746,0.09079518007851439,0.017034981224668864,0.21499485760167802,0.2456755489242743,0.050926485652576375,22.13,1,random
