1,group,error,var
2,0.0,0.7292653479311172,0.003070676579991909
3,1.0,0.7335120914872643,0.004583849877622218
4,2.0,0.6714886800578823,0.004963656654615024
5,3.0,0.6568339135088765,0.005425568646308549
6,4.0,0.6283555897732739,0.009936435349156511
7,5.0,0.6266357069785012,0.016137306264396047
8,6.0,0.6456293222193213,0.017204017727926346
9,7.0,0.6588858329478953,0.005625811551115108
10,8.0,0.6502726495425156,0.0069880724634688585
11,9.0,0.6198859030374227,0.0044857981321920004
12,10.0,0.6312240651729908,0.009878037753690182
13,11.0,0.6211714633117128,0.006272710835857888
14,12.0,0.651999961266162,0.008952114190152757
15,13.0,0.5826634373112131,0.004691311990030226
16,14.0,0.6178224121907218,0.007034952469127309
17,15.0,0.5947827360478593,0.0037969184454481712
18,16.0,0.5962413402651225,0.0064752012192107345
19,17.0,0.6169564623496686,0.00650430574366129
20,18.0,0.6180695526134409,0.0051728429326623
21,19.0,0.6194435605835176,0.004726911833582523
22,20.0,0.6231886319415649,0.004869932627795077
23,21.0,0.6053114046043919,0.0038049365888663277
24,22.0,0.6367867197558856,0.003909364030263997
25,23.0,0.6230865121748461,0.007885408744609855
26,24.0,0.5961094045910771,0.0026830421479684505
27,25.0,0.6107388055914473,0.008518194621254808
28,26.0,0.6114012549869329,0.007233427474065059
29,27.0,0.6416194853397396,0.010792131737539425
30,28.0,0.592570873210774,0.0029508918539043576
31,29.0,0.6012823277924901,0.007985980444884255
32,30.0,0.6235318100370054,0.010473729702250885
33,31.0,0.6199940865992837,0.0053105398115146744
34,32.0,0.6192381705879231,0.010477412888325075
35,33.0,0.6456144356817769,0.008536125316783808
36,34.0,0.6238565445961672,0.0061488178390378965
37,35.0,0.6133013607887849,0.003969065608075283
38,36.0,0.6178477043685326,0.004684945249041211
39,37.0,0.5914821646398438,0.002196739911151012
40,38.0,0.6235824823386034,0.011569298451080321
41,39.0,0.6248790727955088,0.006555134521080653
42,40.0,0.6305399746668338,0.009313879206254056
43,41.0,0.640117095057963,0.006457476020444791
44,42.0,0.6256839124494851,0.002444516486979025
45,43.0,0.615285172620943,0.009674968910008578
46,44.0,0.6283069059537675,0.009593412779769776
47,45.0,0.635938891874978,0.008987439868613011
48,46.0,0.655394680088276,0.0066630036576176815
49,47.0,0.6482993768689777,0.004994549873524138
50,48.0,0.6220941541405036,0.0033731015012441077
51,49.0,0.619773744999159,0.0059309380168732235
52,50.0,0.6397177961867387,0.008222084304596627
53,51.0,0.6092907029504671,0.0045481711080927415
54,52.0,0.6637671612858795,0.005369826072014786
55,53.0,0.6483898475692127,0.006599765754567733
56,54.0,0.6631721389581167,0.005518034317908175
57,55.0,0.6498278058757732,0.006371709132545873
58,56.0,0.6389367482985288,0.005277252313186656
59,57.0,0.6687351378530477,0.005824806313346672
60,58.0,0.6266547534485889,0.005650692049619259
61,59.0,0.6496578188787057,0.009105052238742438
62,60.0,0.6708911532991759,0.008618616265377747
63,61.0,0.6570717822574039,0.007276132369320315
64,62.0,0.6520588240138914,0.00670369956079161
65,63.0,0.6261674194237273,0.00807985337003208
66,64.0,0.6687348359473364,0.011270907769203349
67,65.0,0.6744675269131047,0.005855391613633439
68,66.0,0.6622947326156235,0.01252172637673371
69,67.0,0.6919651562800099,0.005922719658416224
70,68.0,0.6694058331755354,0.009445219012416354
71,69.0,0.6559547808899351,0.008448235401032535
72,70.0,0.6685780889828092,0.008967974389955712
73,71.0,0.6750635153019082,0.005738068569356693
74,72.0,0.6762248969489667,0.00543388529111327
75,73.0,0.6801622935189716,0.006941650622507319
76,74.0,0.6673569313364132,0.009776215813027471
77,75.0,0.6948810993874298,0.0036010761400947847
78,76.0,0.6787944682673036,0.01054655409190634
79,77.0,0.6676294596171608,0.011160008917349664
80,78.0,0.6420617153350632,0.008183018641830042
81,79.0,0.7002186117448997,0.007064216412016993
82,80.0,0.6663147593563856,0.009785330637928375
83,81.0,0.6922762226194672,0.009135580148607469
84,82.0,0.6946845191336306,0.013549913403813457
85,83.0,0.6877753802712067,0.0076696514958032565
86,84.0,0.6939606740512685,0.0071015673691698835
87,85.0,0.6501520604474977,0.00499088085177085
88,86.0,0.6992052065245021,0.01621221144963169
89,87.0,0.6966962228941578,0.008993056956309602
90,88.0,0.7000049799772071,0.011147625515931361
91,89.0,0.6740173713146531,0.009720827387831806
92,90.0,0.6815729795088736,0.006621706951896148
93,91.0,0.7068446163188026,0.010368282829903612
94,92.0,0.6716584231556187,0.0031046038840044387
95,93.0,0.6897525139927778,0.007164004470410386
96,94.0,0.7049801613481104,0.008978974379824253
97,95.0,0.7008092428127936,0.012059145427537997
98,96.0,0.7043745834959673,0.004853952112877936
99,97.0,0.6920706422103796,0.00915719189030364
100,98.0,0.7173234847524996,0.01152837840300417
101,99.0,0.6869259465277308,0.009729175595014941
102,100.0,0.7143054714378421,0.009362054333881969
