1,group,error,var
2,0.0,1.078297323909452,0.0008516118891483679
3,1.0,1.0506606642630918,0.0034204684201335016
4,2.0,0.9825619799531886,0.003418044324933375
5,3.0,0.9535927065008598,0.005851290473967637
6,4.0,0.9339983153405399,0.01369855939095448
7,5.0,0.9027774559662619,0.019529302142506703
8,6.0,0.8995327293227294,0.0199693379779201
9,7.0,0.9113726218558817,0.007630017078552887
10,8.0,0.8931569431547668,0.008768718787970631
11,9.0,0.8583169043037454,0.006386272802878856
12,10.0,0.8551019080911747,0.01125925428834317
13,11.0,0.8380609054005872,0.011312735880365812
14,12.0,0.8651955127064779,0.00952571547875038
15,13.0,0.7957963441032779,0.008577338194451858
16,14.0,0.8325513352520609,0.005582886541322658
17,15.0,0.799593058953613,0.003838221161007748
18,16.0,0.7907752104170431,0.006119917248851738
19,17.0,0.7867720487376212,0.007853979294858666
20,18.0,0.7913953773645168,0.006143724606258404
21,19.0,0.7835917177732946,0.005971741996890899
22,20.0,0.8024368032055025,0.007698138541182613
23,21.0,0.7710770081765339,0.005860335000238468
24,22.0,0.8036847183656011,0.00569537948245461
25,23.0,0.7829509655587169,0.007983923705415763
26,24.0,0.7585029429227065,0.003406894859238904
27,25.0,0.7602397366440409,0.00903671294220902
28,26.0,0.7608521082803293,0.007305722807944818
29,27.0,0.7908992222039306,0.010230464312689955
30,28.0,0.7384045249842506,0.0015996689605687776
31,29.0,0.7469129650799865,0.00846526777333874
32,30.0,0.7543114095438002,0.012011121693918532
33,31.0,0.7488100244500018,0.005880386957904944
34,32.0,0.7529460620016262,0.010930108199504868
35,33.0,0.7692814751176894,0.009869356690680415
36,34.0,0.7574076442175804,0.0069798214430043335
37,35.0,0.7376577948559053,0.004299006556785864
38,36.0,0.7424433881538155,0.0059191079723874915
39,37.0,0.7087217005576709,0.0017749575753185677
40,38.0,0.7351791769877964,0.011973225586858838
41,39.0,0.7261485942354887,0.007294828535637905
42,40.0,0.7366952214531107,0.009739555139525156
43,41.0,0.7541873887179493,0.008595382238507296
44,42.0,0.7345570804065621,0.002810056830445177
45,43.0,0.7285437854023267,0.010301560761919182
46,44.0,0.7290377853104794,0.009002637008349334
47,45.0,0.7492262332473738,0.00965505943315913
48,46.0,0.7516005708533303,0.005153994464104757
49,47.0,0.7459303560401785,0.004327507557970864
50,48.0,0.7267543463163921,0.0035658181177249046
51,49.0,0.7178302445285409,0.005424152085904659
52,50.0,0.7345135811890783,0.006969524146453529
53,51.0,0.7030113449786612,0.004048347766728604
54,52.0,0.7465537833270799,0.004551624368499348
55,53.0,0.7293844642141554,0.006321003055478458
56,54.0,0.7559953152965877,0.004870706910232144
57,55.0,0.7329422429483734,0.0052679120204765836
58,56.0,0.731728491989144,0.0051294825297653135
59,57.0,0.7517820498548184,0.004299607084355228
60,58.0,0.7059922851871132,0.005444034684441106
61,59.0,0.7268228151844713,0.008579017224832926
62,60.0,0.748362871543071,0.008432185582067587
63,61.0,0.7359470094196232,0.006089848326473081
64,62.0,0.7318816390187726,0.00654432937513182
65,63.0,0.6988905965561428,0.008327402211825095
66,64.0,0.7447438205191415,0.010445342385024379
67,65.0,0.7466397152069548,0.005211154144889345
68,66.0,0.7271303372047735,0.011889575432800432
69,67.0,0.7667773370927587,0.005122811204068464
70,68.0,0.7384617037932028,0.008138115451765675
71,69.0,0.7249863617885677,0.006755238344274499
72,70.0,0.7406865446194033,0.010286801548674607
73,71.0,0.7405589906566322,0.006299292651646205
74,72.0,0.7437876166100478,0.004261469229518988
75,73.0,0.7417200246259945,0.006445676674589068
76,74.0,0.7365325454813425,0.011129423973836941
77,75.0,0.7492139496540097,0.0035284208333389044
78,76.0,0.7423354049132754,0.009868104672033223
79,77.0,0.7287951980721233,0.009546392946198965
80,78.0,0.7028428478267409,0.008514745058654639
81,79.0,0.762345621994436,0.007393983161672042
82,80.0,0.7261811820412529,0.01053725517379798
83,81.0,0.7499129017582341,0.008633046296037776
84,82.0,0.7463745202849515,0.012607072161678657
85,83.0,0.7447295352312974,0.009101665603804123
86,84.0,0.7434789159811108,0.0067015146849896635
87,85.0,0.7030697840295289,0.004999722872980608
88,86.0,0.7581029008306959,0.017551612745249627
89,87.0,0.7552288747910254,0.008054204855396395
90,88.0,0.7561485673280226,0.011053233955249847
91,89.0,0.7248231179222373,0.009052869233653124
92,90.0,0.7361423269724113,0.0064799694595999765
93,91.0,0.7580812612664037,0.012081504576438338
94,92.0,0.7210289362327794,0.003147287778479213
95,93.0,0.7394451654239396,0.008098216296628429
96,94.0,0.7538282998412188,0.008164033030705375
97,95.0,0.7480943482482623,0.01216712978956353
98,96.0,0.7508369307517178,0.004752567537867791
99,97.0,0.7439076179605403,0.009975811193774867
100,98.0,0.7636948847356151,0.010351564665973135
101,99.0,0.7320181291915961,0.010503090763394441
102,100.0,0.7546061106435695,0.009833066977774965
1,group,error,var
2,0.0,,
3,1.0,1.078297323909452,0.0008516118891483679
4,2.0,1.0504770267779882,0.003422503916102585
5,3.0,0.9825898433239122,0.0034551082334495025
6,4.0,0.9535057080626228,0.005868391015886274
7,5.0,0.9347206147113483,0.013753190509144569
8,6.0,0.9029682642885517,0.019608092501307788
9,7.0,0.8996696753557651,0.019930111545918682
10,8.0,0.911884072939209,0.007706568466765609
11,9.0,0.8925578990330939,0.008746601755108222
12,10.0,0.8583827373288333,0.006417292801176691
13,11.0,0.8557736420064549,0.01128131451823931
14,12.0,0.8383831065115297,0.011315357578390108
15,13.0,0.8651193690862968,0.009509694056325233
16,14.0,0.7953772164211118,0.008665394705107476
17,15.0,0.8328960802263528,0.005511604575509555
18,16.0,0.7998703904430341,0.0038015190305820063
19,17.0,0.7916189458207062,0.00612045341470052
20,18.0,0.7873970409385002,0.00796670046671466
21,19.0,0.7923059002478061,0.006088892136120819
22,20.0,0.7840570834007792,0.005901046765345636
23,21.0,0.8029458739870566,0.007932486335655303
24,22.0,0.7710782745214988,0.005813175030018795
25,23.0,0.804360944915531,0.00574622080417995
26,24.0,0.7835348576646096,0.007954957432162709
27,25.0,0.7593968706753063,0.003495223970015332
28,26.0,0.7604814200307359,0.00903928157948345
29,27.0,0.7610085538944393,0.007081300528457552
30,28.0,0.7908701668920168,0.010311117251684297
31,29.0,0.7380024864308179,0.0015775180153185762
32,30.0,0.7479952629380806,0.008602912784541337
