1,group,error,var
2,0.0,,
3,1.0,1.078297323909452,0.0008516118891483679
4,2.0,1.0505614605083298,0.0034138094989293816
5,3.0,0.9821277571559841,0.003386482292826589
6,4.0,0.9536407607822008,0.0058336864719274965
7,5.0,0.9347342704661061,0.01376727193098739
8,6.0,0.903354320138188,0.019618039445755416
9,7.0,0.8998967091355009,0.01993636198929016
10,8.0,0.9115625984841849,0.007659209340474554
11,9.0,0.8923373359054743,0.008711973653024913
12,10.0,0.8587747556318348,0.006339935373461898
13,11.0,0.8551640357533119,0.011173476711944316
14,12.0,0.8383605377599437,0.011384371653146295
15,13.0,0.8641111112998463,0.00932625689590844
16,14.0,0.7957000268367072,0.008622295056844542
17,15.0,0.8320779609058274,0.005409522765068751
18,16.0,0.7991943524880181,0.003898408508502687
19,17.0,0.7915238448410051,0.006252372356673716
20,18.0,0.7871078484395536,0.008039753263401927
21,19.0,0.7920849893140988,0.006174848844473479
22,20.0,0.7829747043778598,0.005884524587838534
23,21.0,0.8033931358344519,0.007692091128451957
24,22.0,0.7711004594732656,0.0058234620151107475
25,23.0,0.8034858477172946,0.005557758102456408
26,24.0,0.7829297927947543,0.008055842848484308
27,25.0,0.7591616815991495,0.003365883897304653
28,26.0,0.7600409620350499,0.008965379778070888
29,27.0,0.761530401007878,0.007099770485624319
30,28.0,0.790423710504008,0.010096244666667909
31,29.0,0.7388105561809677,0.0016363744811296928
32,30.0,0.7474204612807847,0.008561541657482593
33,31.0,0.7538873315465267,0.011960455648901108
34,32.0,0.7488552304054112,0.005862881764977516
35,33.0,0.7525012271291922,0.011128715716764674
36,34.0,0.7675313635384183,0.009722695623343942
37,35.0,0.7578482649674988,0.007024392383149894
38,36.0,0.7388468845021204,0.004313947050504467
39,37.0,0.7419336713849998,0.005881108623712848
40,38.0,0.7093574667303372,0.0018745473426808191
41,39.0,0.7367755054338042,0.012029885894401737
42,40.0,0.7269359803038331,0.007216431249156661
43,41.0,0.7360466359731103,0.010000865747373137
44,42.0,0.7536424322278507,0.008331618665497613
45,43.0,0.7343509807391533,0.002777469870202646
46,44.0,0.7277969530683155,0.010486515838737621
47,45.0,0.7286433939590465,0.009016160625319614
48,46.0,0.7487314277017532,0.009617036773692755
49,47.0,0.7510158695885696,0.005193593161747076
50,48.0,0.7476542668754461,0.004588190070067331
51,49.0,0.7277861538233458,0.00351405393217891
52,50.0,0.7198364796249808,0.005438482700016729
53,51.0,0.7353453093829498,0.006747489546938694
54,52.0,0.7041856111994534,0.004095274670174226
55,53.0,0.7467846828561888,0.004585712661176847
56,54.0,0.7294187415588875,0.006275897923536984
57,55.0,0.7555923216291521,0.004824545240635169
58,56.0,0.7341340462806514,0.005078799125239961
59,57.0,0.7298740168837797,0.0049789775237290695
60,58.0,0.7513559715605225,0.004359173189123599
61,59.0,0.7088691165931416,0.005756763070412054
62,60.0,0.7277625707085101,0.00841506020688643
63,61.0,0.7476241684095875,0.008366937133873879
64,62.0,0.736574084220446,0.006281686753022783
65,63.0,0.731731279841435,0.006631262320361016
66,64.0,0.6997900366699695,0.008331442099180002
67,65.0,0.7458559786721348,0.010023144081163001
68,66.0,0.7467868586372665,0.005126678956882731
69,67.0,0.7270387137092008,0.011568967685789973
70,68.0,0.7642846300488121,0.004993881892932436
71,69.0,0.7397257382773651,0.008545672543397758
72,70.0,0.7239194965580323,0.006938037711306873
73,71.0,0.7396405823790636,0.010529987505108916
74,72.0,0.7403136522648575,0.006407043680007644
75,73.0,0.7415414771761901,0.004377399307594818
76,74.0,0.7424824011748092,0.006632709804649933
77,75.0,0.7367953902887469,0.011189935347113236
78,76.0,0.7486839919303534,0.0035464631255548384
79,77.0,0.7406967787910241,0.009705012518974803
80,78.0,0.7277997603833846,0.00934353327428295
81,79.0,0.7020763716895349,0.00858129039482027
82,80.0,0.7620685511807176,0.0073074030165646495
83,81.0,0.7279436721981614,0.010526818404600244
84,82.0,0.7507586045844878,0.008531963626154658
85,83.0,0.744879712840933,0.01147114545224472
86,84.0,0.7447295522806424,0.009134755205497749
87,85.0,0.742148725114807,0.006660188983395177
88,86.0,0.702011508667765,0.005002096640665983
89,87.0,0.7571243231497489,0.017238772783208022
90,88.0,0.7536234705836377,0.0074870270127850485
91,89.0,0.754188320051125,0.010444613005051725
92,90.0,0.7220625196296571,0.00854193456413138
93,91.0,0.7349512214758682,0.006650298101381449
94,92.0,0.7577566709597057,0.011552330166030425
95,93.0,0.7221851752825101,0.002990796979671756
96,94.0,0.7374803981020881,0.007767067314727686
97,95.0,0.7521830416085218,0.008404954561990457
98,96.0,0.7467113450586681,0.011883755792827272
99,97.0,0.7478035288401026,0.004177901963926206
100,98.0,0.7438314588879618,0.009454896612055034
101,99.0,0.7626094483847657,0.010539623046006315
102,100.0,0.7317879861718319,0.00995436676891982
1,group,error,var
2,0.0,,
3,1.0,0.7405408615947868,0.0004567299005844967
4,2.0,0.7713981095670956,0.010424920159961939
5,3.0,0.7058192217406237,0.029681168982951946
6,4.0,0.6582097016010009,0.04343325762438342
7,5.0,0.7144108671559761,0.13444329330464927
8,6.0,0.7355592699517772,0.009526633713689798
9,7.0,0.5451130396724808,0.02399994002725258
10,8.0,0.6468091219988861,0.09491850624164473
11,9.0,0.6100607961682096,0.009378448367110919
12,10.0,0.5992824901785395,0.006484546630965701
13,11.0,0.5740394097217523,0.0013245992837081764
14,12.0,0.5042671379003612,0.0003702108666387545
15,13.0,0.5054550869097558,0.03786853285348644
16,14.0,0.5554389736117612,0.017714744186055634
17,15.0,0.5828717112131427,0.005619309835490248
18,16.0,0.5545664721856673,0.006488048081130867
19,17.0,0.49149835029243133,0.0013719638886946686
20,18.0,0.6280720906343393,0.03250290132171277
21,19.0,0.527927328913084,0.013302079541706851
22,20.0,0.48241293027497745,0.0007952169162796395
23,21.0,0.5510726120736521,0.025560966299989926
24,22.0,0.6262413289778374,0.04393696597183114
25,23.0,0.43610208214761387,0.0005260961576487866
26,24.0,0.532499589622965,0.03727216837575226
27,25.0,0.4402295550224211,0.03135572074629074
28,26.0,0.5616842980333139,0.005676123602767147
29,27.0,0.4512348519821077,0.026006303274421282
30,28.0,0.4030339157587055,0.00017889685369884155
31,29.0,0.45096943842052456,0.019933434079764608
32,30.0,0.5282720011678338,0.00032414682274992704
33,31.0,0.45784472307262497,0.011904470924251474
34,32.0,0.4536787596154286,0.00019879078482796443
35,33.0,0.5583298784238142,0.01471981773151287
36,34.0,0.41332048875144645,0.005507641562149388
37,35.0,0.4469198484335978,0.0037148913810054036
38,36.0,0.48820197128420484,0.00016331993697827
39,37.0,0.44499787250781436,0.00029794172091635127
40,38.0,0.4054670514314982,0.020871143657793363
41,39.0,0.4091265232617608,0.0018187732294771225
42,40.0,0.32519947121149173,0.001328540563533073
43,41.0,0.33819996885466125,0.004147744586093103
44,42.0,0.4015488317877696,0.023266080593329304
45,43.0,0.5736518528715712,0.05445178824167121
46,44.0,0.46804315503866983,0.008953925976037983
47,45.0,0.378842431748605,0.0023161482145143165
