1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedJS,0,4.615442483116778,0.008328891257995736,0.49894047201341835,0.0076884739887636095,0.06569950885778555
3,Cifar100,FedJS,1,4.520080430230686,0.0398454157782516,0.610429175822014,0.044187449015627225,0.11482906750626218
4,Cifar100,FedJS,2,4.42266880363104,0.053371535181236676,0.6631279102219659,0.047717768958363466,0.10913553855171555
5,Cifar100,FedJS,3,4.291371049135101,0.07995735607675906,0.7081653531601185,0.05956927912511799,0.10077610765891078
6,Cifar100,FedJS,4,4.307012370336397,0.09168443496801706,0.7119103738935779,0.05524224012427823,0.10889884607754602
7,Cifar100,FedJS,5,4.1843285222448845,0.09534914712153518,0.7395768717806354,0.076451867221769,0.09631288156366075
8,Cifar100,FedJS,6,4.140843654910009,0.10634328358208955,0.7493317490210517,0.08128687547991936,0.09828257275242142
9,Cifar100,FedJS,7,4.042588549594696,0.10827558635394456,0.7679170872689214,0.0810265103370823,0.08666419112687757
10,Cifar100,FedJS,8,3.9551705326119513,0.11300639658848614,0.7788512181715345,0.06377312340869963,0.06324657553916672
11,Cifar100,FedJS,9,3.9036007778295905,0.12173507462686567,0.7881336663523988,0.06607179758716136,0.06547398802966574
12,Cifar100,FedJS,10,3.881926792437995,0.12240138592750532,0.7890364964204811,0.06199427682773609,0.07573857187963776
13,Cifar100,FedJS,11,3.8125778450657943,0.13286247334754797,0.7990454304484197,0.0722097506767699,0.0687407681670226
14,Cifar100,FedJS,12,3.7269242656939268,0.1363272921108742,0.808320754122401,0.06728786830518464,0.05663697210216215
15,Cifar100,FedJS,13,3.6293577441879066,0.14292377398720682,0.8198420927353572,0.05009409983847816,0.03374054908868522
16,Cifar100,FedJS,14,3.6777723629721497,0.1349280383795309,0.817452521868701,0.07786089382778981,0.05314805004908883
17,Cifar100,FedJS,15,3.599348526591827,0.14585554371002132,0.8223263351139447,0.04689869035689503,0.048218736146900205
18,Cifar100,FedJS,16,3.579235352516132,0.15065298507462688,0.8235718275367424,0.05890616275860218,0.05406885031781627
19,Cifar100,FedJS,17,3.6430803882950586,0.15111940298507462,0.8167936335539874,0.06632811305505684,0.06131417081772538
20,Cifar100,FedJS,18,3.6731947148303252,0.14032515991471214,0.8165524619992734,0.07852960889076512,0.06502300861473496
21,Cifar100,FedJS,19,3.6872577633051935,0.1400586353944563,0.8148512022578084,0.07091969855257438,0.06719584831365669
22,Cifar100,FedJS,20,3.6269963865410793,0.14465618336886993,0.8194547037276672,0.06882244571869622,0.06139603341071425
23,Cifar100,FedJS,21,3.5981919043796,0.14192430703624734,0.8233184483288539,0.06120047319972636,0.042768850793054695
24,Cifar100,FedJS,22,3.6104805049624145,0.14405650319829424,0.8226036021489473,0.06713853758032036,0.04647054104719977
25,Cifar100,FedJS,23,3.559523448409018,0.14878731343283583,0.8250996450392247,0.05620315820923643,0.038159113322993196
26,Cifar100,FedJS,24,3.5243305812350076,0.1511860341151386,0.8292503330471174,0.053843250249884386,0.04025408379741937
27,Cifar100,FedJS,25,3.4854949990735107,0.1570495735607676,0.8295975555722371,0.05356906293896844,0.041928640264200095
28,Cifar100,FedJS,26,3.50915761584649,0.1535181236673774,0.8295744301950515,0.06612546439513708,0.04124614789954542
29,Cifar100,FedJS,27,3.503802446859563,0.15651652452025586,0.8265201880518901,0.06238208904898236,0.04790508704060472
30,Cifar100,FedJS,28,3.4252183069232265,0.15671641791044777,0.8317145810843978,0.0550534180509946,0.047246047568780855
31,Cifar100,FedJS,29,3.505114719793903,0.15185234541577824,0.8248374586467213,0.0600343590093008,0.05852247730801864
32,Cifar100,FedJS,30,3.472630923619539,0.15771588486140725,0.8280318843894184,0.05680188554544262,0.05485852489368598
33,Cifar100,FedJS,31,3.434580242258971,0.1631130063965885,0.8310297086068839,0.06639945812358193,0.04987902653086364
34,Cifar100,FedJS,32,3.4051437942800606,0.15791577825159914,0.8309326505398535,0.059126474078611845,0.054335861165058466
35,Cifar100,FedJS,33,3.4566977270851513,0.15391791044776118,0.8285310976455691,0.05752258814403633,0.05176118388790237
36,Cifar100,FedJS,34,3.518388453233451,0.14612206823027718,0.8270534512334111,0.05699048959578246,0.0434559466058318
37,Cifar100,FedJS,35,3.4605415684658634,0.1535181236673774,0.8301243442647526,0.06209534038680207,0.043962129796513136
38,Cifar100,FedJS,36,3.3989429614882605,0.15631663113006397,0.8330269891395661,0.05959105636544135,0.05008152594294159
39,Cifar100,FedJS,37,3.3672763249324724,0.1623134328358209,0.8338302477466266,0.051377518048630416,0.03983830730242302
40,Cifar100,FedJS,38,3.373461802297694,0.16451226012793177,0.8350990250665395,0.05909351523846325,0.04858487272184322
41,Cifar100,FedJS,39,3.394515235678854,0.1599813432835821,0.8333111983297519,0.06725261314731959,0.05146702124477933
42,Cifar100,FedJS,40,3.424957231286263,0.16184701492537312,0.8317396022533389,0.06227538137583373,0.056554409144308135
43,Cifar100,FedJS,41,3.3924085458091433,0.15851545842217485,0.8338019280195085,0.05949779273312201,0.04346279406609624
44,Cifar100,FedJS,42,3.3294832994917853,0.15984808102345416,0.8364104358554244,0.045350797996069774,0.03133380933997947
45,Cifar100,FedJS,43,3.282230965818317,0.16751066098081024,0.8378674958053326,0.044162727214430736,0.03792310030619947
46,Cifar100,FedJS,44,3.337757205333792,0.16317963752665246,0.8368800609069608,0.049541988057058346,0.03665381058516139
47,Cifar100,FedJS,45,3.3634132642197536,0.16004797441364604,0.8354338633121349,0.05217154932533686,0.03592603742752961
