1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,Cifar10,PerAvg,0,0.5833585724797613,0.10714285714285714,0.5084494587055967,0.2203115326567343,0.198416140940435,0.5
3,Cifar10,PerAvg,1,0.45492591156358525,0.1531183368869936,0.5531926781467386,0.23704903597629273,0.2158140416926787,0.5
4,Cifar10,PerAvg,2,0.3980237935247585,0.20529051172707888,0.5663247824416527,0.23531330377731635,0.24714466940942006,0.5
5,Cifar10,PerAvg,3,0.3643479433968471,0.19349680170575692,0.6108386610874524,0.22667404710490563,0.23669157368347873,0.5
6,Cifar10,PerAvg,4,0.3264038295815395,0.2088219616204691,0.6084627544295431,0.23923497359593907,0.2173015346574462,0.5
7,Cifar10,PerAvg,5,0.305389142629469,0.1896321961620469,0.6390894285966444,0.19935166619559666,0.1804164584070247,0.5
8,Cifar10,PerAvg,6,0.3071346763551089,0.18030383795309168,0.5980750559643427,0.2420152669480127,0.2038602399863006,0.5
9,Cifar10,PerAvg,7,0.2976794637641706,0.21401918976545842,0.6176509284335985,0.24331725708319923,0.20930010852592018,0.5
10,Cifar10,PerAvg,8,0.278360461265564,0.22927771855010662,0.6539966677325674,0.2361091282191503,0.1979751932823512,0.5
11,Cifar10,PerAvg,9,0.2732395445480559,0.21182036247334754,0.6628966226036456,0.2064058187095999,0.18613599364778846,0.5
12,Cifar10,PerAvg,10,0.25938800455497324,0.22174840085287847,0.6666726998065178,0.22449042413182768,0.18817215112401414,0.5
13,Cifar10,PerAvg,11,0.2399344408520776,0.3009728144989339,0.7588139391386057,0.16765266487868546,0.11332934384498485,0.5
14,Cifar10,PerAvg,12,0.2420075352783725,0.22594616204690832,0.6763139369370853,0.2269925090600385,0.15897217064235722,0.5
15,Cifar10,PerAvg,13,0.2331194255865818,0.28931236673773986,0.7328388533685413,0.19691266865703314,0.13383776190023605,0.5
16,Cifar10,PerAvg,14,0.24294246142104498,0.21881663113006397,0.6571672137433824,0.23075202568212952,0.16976174923097223,0.5
17,Cifar10,PerAvg,15,0.2305772214480425,0.24173773987206823,0.7074970713399171,0.20958490778624075,0.12501689042314315,0.5
18,Cifar10,PerAvg,16,0.2211236819372608,0.2908448827292111,0.7258086717671075,0.21398219224909668,0.1377168579418306,0.5
19,Cifar10,PerAvg,17,0.21710022873393847,0.30830223880597013,0.7502171421753605,0.154948187005221,0.14703366666403223,0.5
20,Cifar10,PerAvg,18,0.21580031831628216,0.28244936034115137,0.7295161585671256,0.19199482339217497,0.1578817500170766,0.5
21,Cifar10,PerAvg,19,0.21968831608586276,0.25466417910447764,0.7068134135000498,0.16422278547901134,0.1490990660812328,0.5
22,Cifar10,PerAvg,20,0.21676548808123505,0.2943097014925373,0.705028753051683,0.2099614085224939,0.18724992090132983,0.5
23,Cifar10,PerAvg,21,0.20888588214235354,0.29677505330490406,0.7171350663335662,0.23911874395702032,0.1688524249472225,0.5
24,Cifar10,PerAvg,22,0.20647313992618718,0.3130330490405117,0.7254575109467922,0.19213760854855133,0.17197549594300637,0.5
25,Cifar10,PerAvg,23,0.21204503935039243,0.25613006396588484,0.669448186658289,0.23634313610425386,0.18043460686146817,0.5
26,Cifar10,PerAvg,24,0.21370221522515329,0.2701226012793177,0.6689704566521344,0.2292918281529353,0.1961580148425819,0.5
27,Cifar10,PerAvg,25,0.20428103386552351,0.31849680170575695,0.7378072910420556,0.20120638075293965,0.147973995807233,0.5
28,Cifar10,PerAvg,26,0.19944060435695823,0.2809834754797441,0.7310429311999709,0.20297746474340475,0.11967271753784901,0.5
