1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,100,0.5,21.736863253116606,2173.6863253116608,"[17.06051278114319, 21.354389905929565, 22.179069995880127, 18.321874856948853, 21.030040740966797, 21.655129194259644, 27.890404224395752, 21.34687614440918, 23.2168607711792, 23.67948007583618, 25.217004776000977, 17.638468980789185, 25.968229293823242, 19.674760103225708, 21.047767877578735, 25.697420120239258, 24.65747308731079, 25.795050144195557, 26.69670605659485, 21.696803092956543, 22.57440209388733, 20.29916000366211, 24.267505884170532, 19.502670764923096, 22.021544218063354, 18.470525979995728, 20.82959794998169, 26.859682083129883, 22.110884189605713, 20.730897188186646, 20.282862186431885, 27.77516007423401, 18.98506808280945, 23.951170206069946, 22.794519901275635, 23.454098224639893, 28.7499942779541, 18.42701482772827, 22.766401052474976, 20.590033769607544, 22.98372983932495, 18.000760793685913, 21.47378706932068, 23.91245675086975, 24.93800687789917, 21.92650818824768, 19.664556741714478, 19.203646898269653, 18.964488983154297, 26.102181911468506, 19.99877619743347, 15.225446939468384, 20.491437911987305, 20.489306926727295, 19.41568112373352, 20.984034776687622, 19.930486917495728, 18.2810959815979, 23.09252905845642, 19.960472106933594, 18.32246494293213, 24.95037603378296, 19.04836368560791, 19.75901222229004, 25.6036696434021, 23.529698848724365, 17.423461198806763, 23.579035997390747, 23.19851589202881, 28.692467212677002, 20.526341915130615, 22.166570901870728, 19.41929030418396, 16.124446868896484, 21.42882513999939, 25.573978185653687, 22.49425220489502, 20.77896213531494, 20.379579067230225, 24.083155870437622, 19.657178163528442, 21.78277087211609, 15.722397327423096, 22.271583795547485, 20.278584003448486, 19.023099899291992, 22.214707136154175, 20.20674204826355, 23.352439880371094, 23.397509813308716, 22.198987007141113, 21.69269609451294, 26.47762107849121, 22.03052282333374, 18.05811095237732, 19.250203847885132, 21.479893922805786, 21.17719292640686, 20.173442125320435, 23.851266145706177]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,20.431302642822267,102.15651321411133,"[22.58379626274109, 22.344027996063232, 17.08609104156494, 18.983012914657593, 21.159584999084473]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,20.78180241584778,103.90901207923889,"[19.728755950927734, 18.52183699607849, 21.24503803253174, 23.193462133407593, 21.219918966293335]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,20.519307088851928,102.59653544425964,"[19.74323010444641, 23.843474864959717, 21.367912769317627, 18.91765284538269, 18.7242648601532]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,21.84655327796936,109.2327663898468,"[24.97855496406555, 20.114415168762207, 20.48447608947754, 23.471304178237915, 20.18401598930359]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,27.667150592803956,138.33575296401978,"[23.807664155960083, 29.440448999404907, 24.455408811569214, 31.366518020629883, 29.26571297645569]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,5,0.5,39.46256022453308,197.3128011226654,"[37.43282079696655, 33.304540157318115, 38.47457313537598, 39.627914905548096, 48.472952127456665]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,mnist,FedAvg,100,0.5,20.514787917137145,2051.4787917137146,"[48.74486494064331, 37.616387128829956, 29.54879903793335, 28.1350519657135, 27.914522171020508, 26.897958993911743, 26.23036217689514, 27.92878007888794, 27.792302131652832, 27.513744115829468, 27.112730979919434, 28.661355018615723, 19.812682151794434, 18.02895498275757, 20.620391130447388, 21.247313022613525, 26.186717748641968, 15.938266277313232, 21.101927995681763, 17.03417992591858, 17.663836002349854, 18.739931106567383, 19.190646171569824, 19.419032096862793, 21.678120136260986, 18.545932054519653, 25.229610919952393, 15.478379011154175, 23.404337882995605, 15.244367122650146, 20.78712797164917, 21.813549041748047, 18.49732804298401, 21.666903018951416, 20.471981048583984, 15.115512132644653, 22.783987998962402, 17.49681782722473, 17.42901086807251, 21.929109811782837, 20.79765510559082, 20.222179174423218, 17.18043088912964, 15.544564962387085, 20.383087873458862, 17.586077213287354, 17.722458124160767, 16.963868856430054, 19.434201955795288, 19.757730960845947, 21.756253957748413, 21.62808322906494, 16.390177965164185, 19.282734155654907, 19.935465097427368, 15.703591108322144, 17.786262035369873, 18.11654496192932, 15.614948749542236, 19.525266885757446, 18.90423607826233, 19.225685119628906, 21.980804204940796, 18.14960503578186, 20.671624898910522, 20.218969106674194, 22.96923279762268, 13.820273876190186, 19.90626811981201, 18.075082063674927, 17.112685203552246, 19.757964611053467, 19.24645185470581, 19.088624238967896, 19.689427852630615, 20.71705174446106, 23.321921825408936, 17.069546937942505, 12.96576476097107, 18.146883010864258, 15.66637396812439, 14.82291316986084, 17.357514142990112, 18.483506202697754, 21.869094133377075, 19.586544275283813, 16.90760612487793, 20.653718948364258, 21.30267024040222, 20.817742109298706, 22.56632924079895, 17.32732391357422, 19.981818914413452, 18.628589153289795, 19.91394805908203, 19.809678077697754, 16.740103721618652, 22.51306700706482, 18.758410215377808, 18.749341249465942]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
