1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,select_mode
74,mnist,FedAvg,72,0.24711911000157682,0.9223796033994335,0.9865292787338581,0.033575365281686004,0.0064996549787233425,random
75,mnist,FedAvg,73,0.24535843932145537,0.9218130311614731,0.9864963194576691,0.03306340511171723,0.00653736585094906,random
76,mnist,FedAvg,74,0.2448553178790874,0.9224929178470255,0.9866837807894003,0.03328444008531656,0.006457845903300395,random
77,mnist,FedAvg,75,0.24280770546504357,0.9226062322946176,0.9866990595230656,0.03307698008073512,0.00640142677141455,random
78,mnist,FedAvg,76,0.2416299337030072,0.9224929178470255,0.986695464754255,0.03290542783537573,0.006421130312412024,random
79,mnist,FedAvg,77,0.24044988771278888,0.9227195467422097,0.9868359162494447,0.032824600483811514,0.006366483898810463,random
80,mnist,FedAvg,78,0.23929018954874884,0.9239660056657224,0.9868795471063674,0.03286346717298602,0.006372280160878448,random
81,mnist,FedAvg,79,0.23838584734833446,0.9229461756373938,0.9869373026005293,0.03284268276178624,0.006364275884753411,random
82,mnist,FedAvg,80,0.23718885680860174,0.92328611898017,0.9870275415610786,0.03316688759425732,0.0063341798879390865,random
83,mnist,FedAvg,81,0.23597515871106037,0.9237960339943343,0.9871121633464497,0.03277539020560477,0.006333127354753065,random
84,mnist,FedAvg,82,0.23488454563823055,0.9243626062322946,0.9871437052848698,0.032616726315528984,0.006324096876511395,random
85,mnist,FedAvg,83,0.23348569303978087,0.9243626062322946,0.987216614762925,0.03299929130868101,0.006298719656364514,random
86,mnist,FedAvg,84,0.2325756760371569,0.9252691218130311,0.9872215115672193,0.03265306066107594,0.006291549629726329,random
87,mnist,FedAvg,85,0.23130196066881792,0.925099150141643,0.9873295191036934,0.03309411081146128,0.006256079599170963,random
88,mnist,FedAvg,86,0.2302117548067595,0.9251558073654391,0.9874010805971238,0.03251054150624025,0.006237810429544126,random
89,mnist,FedAvg,87,0.22937268176572534,0.9261189801699716,0.9875228477542943,0.032547862135815446,0.006214776851893836,random
90,mnist,FedAvg,88,0.22863235625369574,0.9258923512747875,0.9875288829807742,0.03215983880265192,0.006233578523386025,random
91,mnist,FedAvg,89,0.22718844911636407,0.9257790368271954,0.9876200958913498,0.032573822748142085,0.006201051671025529,random
92,mnist,FedAvg,90,0.22590291214946273,0.9264022662889518,0.9876583019582825,0.03152480858553097,0.006162894720406809,random
93,mnist,FedAvg,91,0.2249691356826812,0.9271388101983002,0.9877455853584045,0.03157513170536291,0.006125190217455538,random
94,mnist,FedAvg,92,0.22436352139465016,0.9265722379603399,0.9878633688967882,0.03189897029646435,0.006095201262408919,random
95,mnist,FedAvg,93,0.22320762879122277,0.9274220963172805,0.987870978632865,0.03171024078384404,0.006102049979429405,random
96,mnist,FedAvg,94,0.22174398470624107,0.9280453257790369,0.9878893864171744,0.03215809032710958,0.006081367486524378,random
97,mnist,FedAvg,95,0.2206328429901408,0.9278753541076488,0.9879872029064594,0.03169565432066506,0.006052838571859773,random
98,mnist,FedAvg,96,0.2202533607450635,0.9276487252124646,0.9880581831647222,0.032085017469184456,0.006018235287686681,random
99,mnist,FedAvg,97,0.21926582904906458,0.9284419263456091,0.9881759619793615,0.032174576738336916,0.006019288407746361,random
100,mnist,FedAvg,98,0.2173898699071162,0.9294617563739377,0.9881250052404025,0.03208547466376423,0.006036830060274971,random
101,mnist,FedAvg,99,0.21677835087849315,0.9292917847025496,0.9881970794747187,0.030864574203663925,0.006000208951473144,random
102,mnist,FedAvg,100,0.21512667111921688,0.9304249291784703,0.9882576664236841,0.03106886320642253,0.00597595188435373,random
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,select_mode
2,mnist,FedAvg,0,6.174524083067044,0.1006798866855524,0.5076453838080784,0.02882233138428827,0.028079209793382277,pyramidFy
3,mnist,FedAvg,1,1.8659701948917558,0.5256657223796034,0.8481317851006321,0.058157061720147826,0.027719080410528597,pyramidFy
4,mnist,FedAvg,2,1.3375716626233067,0.6670254957507082,0.928377703402437,0.05523515473908718,0.016688797670550645,pyramidFy
5,mnist,FedAvg,3,0.9885692588038045,0.7638526912181303,0.9515838017381296,0.05340982986353477,0.013007614940854605,pyramidFy
6,mnist,FedAvg,4,0.7926169425307823,0.7968271954674221,0.9577732565110924,0.05202457262662192,0.012089914967128176,pyramidFy
7,mnist,FedAvg,5,0.6703400179508872,0.8173371104815864,0.9626844740202314,0.049991396475190394,0.011341637298705444,pyramidFy
8,mnist,FedAvg,6,0.5889623090933109,0.8386968838526913,0.9660468138226572,0.046382910475704656,0.010737892234381624,pyramidFy
9,mnist,FedAvg,7,0.5323557776513652,0.8541643059490085,0.9685713543411734,0.04307273081556328,0.010422917804238345,pyramidFy
10,mnist,FedAvg,8,0.4965424024530232,0.860056657223796,0.9702955024711996,0.04171365002584736,0.010098226608037528,pyramidFy
11,mnist,FedAvg,9,0.46757029968345987,0.8677620396600566,0.9717580735191199,0.04032559611746437,0.009885802225781679,pyramidFy
12,mnist,FedAvg,10,0.44670505089969764,0.8708215297450425,0.9728280737831124,0.04039235116522937,0.009547190517437324,pyramidFy
13,mnist,FedAvg,11,0.4282513293264241,0.8744475920679887,0.973650577156107,0.040225300383879954,0.009419436393449757,pyramidFy
14,mnist,FedAvg,12,0.4121731222624629,0.8796600566572238,0.9747857863373731,0.03795357561729595,0.009170532362948689,pyramidFy
15,mnist,FedAvg,13,0.4003759989781039,0.8819830028328612,0.9755185718646125,0.037384196682122645,0.009010743835497742,pyramidFy
16,mnist,FedAvg,14,0.3893161327643274,0.8845325779036827,0.9762202597000385,0.03729177245414322,0.008900418484809897,pyramidFy
17,mnist,FedAvg,15,0.3804414927430928,0.8857790368271955,0.9768434365564698,0.0373082746351875,0.00880126935811838,pyramidFy
18,mnist,FedAvg,16,0.3720361957460495,0.8876487252124646,0.9772347478186049,0.03728062701943901,0.008656682075009657,pyramidFy
19,mnist,FedAvg,17,0.36592246965307906,0.8891218130311614,0.9777319115165973,0.03729127506378604,0.008607419160488818,pyramidFy
20,mnist,FedAvg,18,0.3602930796830892,0.889915014164306,0.9780293192667989,0.037094546784379734,0.00849370090175986,pyramidFy
21,mnist,FedAvg,19,0.3543135816003815,0.8913881019830028,0.9784377000981777,0.037385587870512674,0.008452336155804614,pyramidFy
22,mnist,FedAvg,20,0.34871266704465587,0.8943342776203966,0.9788808551968309,0.03628455474672552,0.00836547625878074,pyramidFy
23,mnist,FedAvg,21,0.34499313840330603,0.8954107648725212,0.9792405805038453,0.03633955031062689,0.00827561900092676,pyramidFy
24,mnist,FedAvg,22,0.34065986799801073,0.8975070821529745,0.9795130868254227,0.03623388668013782,0.008258165909471106,pyramidFy
25,mnist,FedAvg,23,0.33689855948604386,0.8977337110481587,0.979863496695521,0.03558385864395314,0.008174237392700042,pyramidFy
26,mnist,FedAvg,24,0.33373983075209146,0.8979036827195468,0.9800830249453485,0.036427803538629996,0.00808198464267394,pyramidFy
27,mnist,FedAvg,25,0.3301921966280146,0.8991501416430595,0.9803195198082832,0.03575941642973341,0.008060921504868609,pyramidFy
28,mnist,FedAvg,26,0.32644107835376496,0.9003399433427762,0.9805855025327163,0.03588702274718494,0.007970353947001307,pyramidFy
29,mnist,FedAvg,27,0.3233254212163976,0.9010198300283286,0.9808004437055214,0.035827253028182945,0.00794682062743102,pyramidFy
30,mnist,FedAvg,28,0.32104407324129947,0.901529745042493,0.9810123875557138,0.03573206395549339,0.007887439585856273,pyramidFy
31,mnist,FedAvg,29,0.31813846251119865,0.9024362606232295,0.9813352062546912,0.03544436914418052,0.00781221220958762,pyramidFy
32,mnist,FedAvg,30,0.31614665504439454,0.9026628895184136,0.9815061312634059,0.03571287828192232,0.007763402535381662,pyramidFy
33,mnist,FedAvg,31,0.3126674921225683,0.9036260623229462,0.9816134875674237,0.0354237292785158,0.007708172813880373,pyramidFy
34,mnist,FedAvg,32,0.31055983010128946,0.9048725212464589,0.9818295539574051,0.035667383675116265,0.007646463880649964,pyramidFy
35,mnist,FedAvg,33,0.30895308168036084,0.9047025495750708,0.9820387402149664,0.03523689958499699,0.007567013359603747,pyramidFy
36,mnist,FedAvg,34,0.3056940193306838,0.9055524079320113,0.9821802927718257,0.034790947526733264,0.007544749649340821,pyramidFy
37,mnist,FedAvg,35,0.3042263980258458,0.9061756373937677,0.9823066670819272,0.035491605205548116,0.007539766765386821,pyramidFy
38,mnist,FedAvg,36,0.30180928426528614,0.9069688385269122,0.9825090863621949,0.03447504171278901,0.007484116361643131,pyramidFy
39,mnist,FedAvg,37,0.2997252228252333,0.9081586402266288,0.9827069530272989,0.034847327717037,0.0074522713018690245,pyramidFy
40,mnist,FedAvg,38,0.29754308565992293,0.908441926345609,0.9828401078417761,0.03491218761843421,0.007440528988085006,pyramidFy
41,mnist,FedAvg,39,0.295824429755067,0.908498583569405,0.9829092677410629,0.034826366700106755,0.00741833121461342,pyramidFy
42,mnist,FedAvg,40,0.2934801475831257,0.9096883852691218,0.9830701167901562,0.03466883328490331,0.0073710641933799025,pyramidFy
43,mnist,FedAvg,41,0.29209369415706343,0.9103116147308782,0.9832368567768376,0.035159642642000166,0.00733559824709002,pyramidFy
44,mnist,FedAvg,42,0.29002305058294475,0.9111048158640227,0.9833714456769012,0.03463752419313389,0.007310204473838809,pyramidFy
45,mnist,FedAvg,43,0.2884796247109679,0.9105382436260623,0.9834623298578711,0.03426392830033976,0.007269504685436682,pyramidFy
46,mnist,FedAvg,44,0.2867756599088296,0.9114447592067989,0.9836710194782168,0.034589341688356444,0.007221361870267608,pyramidFy
47,mnist,FedAvg,45,0.28494069037110237,0.9124645892351275,0.9837956487945227,0.03498568702750006,0.007211375964063129,pyramidFy
48,mnist,FedAvg,46,0.2833230889412423,0.9132011331444759,0.9838573995021155,0.03510166166199021,0.0071761468453609804,pyramidFy
