1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedAvg,50,0.1,8.30650252342224,415.32512617111206,"[8.498982906341553, 9.188890218734741, 9.691153764724731, 8.578913927078247, 8.784157991409302, 6.508385896682739, 7.365058183670044, 8.15192437171936, 6.393195390701294, 8.009243249893188, 8.105583429336548, 8.04004693031311, 8.089679956436157, 6.6699182987213135, 7.132802724838257, 8.290430307388306, 8.322469711303711, 6.523741960525513, 8.292160987854004, 6.373915910720825, 8.73466420173645, 8.738474130630493, 8.927306890487671, 10.483967542648315, 10.168027877807617, 8.554921388626099, 7.413042306900024, 9.420450687408447, 7.336692571640015, 9.133713245391846, 9.939090490341187, 6.756763458251953, 7.530402898788452, 7.855738401412964, 8.826368570327759, 9.6612868309021, 8.764519214630127, 9.766863107681274, 9.158586978912354, 9.268305778503418, 10.146542072296143, 9.304405927658081, 8.231359958648682, 7.317624568939209, 7.234747409820557, 8.6742103099823, 6.915737867355347, 8.427470207214355, 6.483889102935791, 9.139296054840088]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedAvg,200,0.1,8.406507782936096,1681.3015565872192,"[8.64585256576538, 10.723501682281494, 8.275669574737549, 7.996451377868652, 9.480923175811768, 9.912088871002197, 6.339395046234131, 9.52214789390564, 8.5780611038208, 8.93652081489563, 7.267848014831543, 7.218770742416382, 8.675190448760986, 7.154087543487549, 7.059895753860474, 9.225075006484985, 7.574319124221802, 7.919396162033081, 7.286237955093384, 8.034276962280273, 8.19228458404541, 7.901501893997192, 9.472500801086426, 8.545191287994385, 8.634456872940063, 7.9764251708984375, 7.5584282875061035, 8.285901069641113, 6.6112751960754395, 10.00631070137024, 7.154625177383423, 7.1243205070495605, 8.564317464828491, 6.420401096343994, 8.189355611801147, 7.384161949157715, 9.088858604431152, 9.424436569213867, 10.447278499603271, 8.77048635482788, 9.858317852020264, 8.16260814666748, 8.093933343887329, 8.192904949188232, 7.264575719833374, 7.133666038513184, 10.064624547958374, 8.073989391326904, 9.65872073173523, 8.66114091873169, 7.817195892333984, 8.859694957733154, 8.610530614852905, 8.281994104385376, 8.855890274047852, 8.863653659820557, 8.148133516311646, 8.88454532623291, 8.15366530418396, 9.508368253707886, 7.770559787750244, 10.55635666847229, 7.281186819076538, 9.172479391098022, 7.473493337631226, 6.497482776641846, 8.501930952072144, 9.872403621673584, 10.512393236160278, 8.6880202293396, 9.276705741882324, 8.047688961029053, 6.258102893829346, 8.026932954788208, 8.167240619659424, 8.199036121368408, 8.294414281845093, 8.307487964630127, 7.675606727600098, 7.765817403793335, 8.118971109390259, 6.177448034286499, 7.034901857376099, 7.047256231307983, 9.887425661087036, 8.096882820129395, 6.563432693481445, 7.234392881393433, 8.203119277954102, 8.14188003540039, 9.893697261810303, 9.982521772384644, 6.810489654541016, 8.92767858505249, 9.191129207611084, 8.816688299179077, 9.242587804794312, 8.736822366714478, 9.005207777023315, 8.04517674446106, 6.455924034118652, 8.084902048110962, 7.3895416259765625, 8.325863599777222, 9.43309497833252, 7.177175998687744, 8.471030473709106, 8.852396965026855, 8.021343231201172, 9.272279024124146, 8.779471397399902, 9.02168083190918, 7.693671941757202, 7.598016738891602, 6.353302240371704, 7.897127628326416, 9.554761171340942, 8.5028657913208, 7.762902498245239, 9.86515760421753, 8.154725790023804, 8.913839101791382, 8.427778244018555, 7.512251853942871, 7.326910495758057, 6.57757830619812, 6.492685556411743, 7.408854722976685, 7.9227681159973145, 10.38158130645752, 6.919517755508423, 10.966545343399048, 9.293480157852173, 9.396178007125854, 9.350680112838745, 7.472866773605347, 7.9186787605285645, 10.112090826034546, 9.722212076187134, 8.106155633926392, 8.294217586517334, 8.83005428314209, 8.343034267425537, 6.4993696212768555, 9.520447492599487, 7.7232911586761475, 8.54989242553711, 7.3798370361328125, 7.210186004638672, 7.509200811386108, 7.109961986541748, 7.950625896453857, 8.99069881439209, 9.937269687652588, 8.209434986114502, 8.159639596939087, 8.939963102340698, 7.433201551437378, 6.511131525039673, 7.211540222167969, 8.50452733039856, 7.261544942855835, 9.418248176574707, 8.426758050918579, 7.773629903793335, 9.53641414642334, 8.259368419647217, 8.754521369934082, 8.491989374160767, 9.769381284713745, 8.756973028182983, 9.070914030075073, 11.694434642791748, 9.24372673034668, 9.032008409500122, 8.860308170318604, 8.982513904571533, 8.05597996711731, 8.03765869140625, 9.89701247215271, 8.384786605834961, 9.237676858901978, 11.081475019454956, 8.92181134223938, 8.125394344329834, 11.526605606079102, 8.216867685317993, 8.490467309951782, 8.661330938339233, 9.947599649429321, 9.193660736083984, 7.586401462554932, 7.997941732406616, 10.152462005615234, 7.596581697463989, 8.96900224685669, 7.1804094314575195, 9.009032249450684, 7.808802127838135, 7.953016042709351]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedGCS,5,0.1,12.155430126190186,60.77715063095093,"[8.596614837646484, 12.001472234725952, 11.985249042510986, 13.18757152557373, 15.006242990493774]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedGCS,5,0.1,11.410619211196899,57.0530960559845,"[8.507482528686523, 9.502256631851196, 11.34111499786377, 13.232136249542236, 14.470105648040771]"
1,dataset,method,round,ratio,average_time_per,total_time,time_list
2,Cifar100,FedGCS,200,0.1,8.640668861865997,864.0668861865997,"[9.03429365158081, 10.292428731918335, 7.833738565444946, 7.459029674530029, 10.773982524871826, 7.944549322128296, 6.60673189163208, 8.98010540008545, 7.753688097000122, 9.929526805877686, 8.631111860275269, 9.14774775505066, 9.58632206916809, 8.908418655395508, 8.092012643814087, 6.976495265960693, 9.071152448654175, 7.044912815093994, 8.557621955871582, 9.305113792419434, 9.761529684066772, 8.668168306350708, 8.924147367477417, 9.042832612991333, 6.871852874755859, 6.785437345504761, 9.839510440826416, 8.788206100463867, 9.164535760879517, 9.16334843635559, 7.767677307128906, 6.840952396392822, 7.839786529541016, 9.811060190200806, 8.216736793518066, 8.726710319519043, 8.700646162033081, 9.273249387741089, 8.531538009643555, 8.83099913597107, 6.883932113647461, 9.474082231521606, 8.819408893585205, 8.89737343788147, 10.298959493637085, 7.905357360839844, 8.0189368724823, 8.936129331588745, 6.7792067527771, 7.974460601806641, 10.574872016906738, 10.55984091758728, 8.287051916122437, 7.998251676559448, 7.536826848983765, 7.205231666564941, 8.456017255783081, 8.706586360931396, 10.110532283782959, 10.354327917098999, 9.310377359390259, 8.779883861541748, 7.803653001785278, 7.973321199417114, 7.876897096633911, 9.45841383934021, 8.878813982009888, 10.346727848052979, 6.726508140563965, 8.583664655685425, 9.122936487197876, 8.614981174468994, 9.600341320037842, 9.892775535583496, 7.914423942565918, 9.266864538192749, 9.06127667427063, 8.994908094406128, 9.679864406585693, 7.926513433456421, 8.824615240097046, 8.20452356338501, 8.53516936302185, 7.87160587310791, 7.001565456390381, 10.395139932632446, 9.439898252487183, 7.895437240600586, 9.467114686965942, 8.809666872024536, 6.837770700454712, 8.887851238250732, 8.543004512786865, 6.7752110958099365, 8.996124267578125, 8.412720441818237, 9.57021188735962, 8.0108323097229, 8.819626331329346, 9.700355291366577]"
